[06:31:45.690] |I| [load_app_impl]: ngs experimental state: true
[06:31:45.690] |I| [load_app_impl]: video player state: true
[06:31:45.690] |I| [load_app_impl]: auto-lle: enabled
[06:31:45.690] |I| [load_app_impl]: Title: DYNASTY WARRIORS 8: Xtreme Legends Complete Edition
[06:31:45.690] |I| [load_app_impl]: Serial: PCSB00509
[06:31:45.690] |I| [load_app_impl]: Version: 1.01
[06:31:45.690] |I| [load_app_impl]: Category: gp
[06:31:45.747] |C| [load_self]: Unknown segment type 0x6FFFFF01
[06:31:45.748] |I| [load_self]: Loaded module segment 0 @ [0x00004000 - 0x000513BC / 0x81000000] (size: 0x0004D3BC) of module app0:sce_module/libc.suprx
[06:31:45.748] |I| [load_self]: Loaded module segment 1 @ [0x00052000 - 0x000546F0 / 0x8104E000] (size: 0x000026F0) of module app0:sce_module/libc.suprx
[06:31:45.748] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libc.suprx
[06:31:45.748] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x47164
[06:31:45.748] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x3D0FC
[06:31:45.748] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (UNRECOGNISED) at 0x410BC, setting to stub value 0xDEADBEEF
[06:31:45.749] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x42B70, setting to stub value 0xDEADBEEF
[06:31:45.749] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[06:31:45.756] |C| [load_self]: Unknown segment type 0x6FFFFF01
[06:31:45.756] |I| [load_self]: Loaded module segment 0 @ [0x00057000 - 0x0008212C / 0x81000000] (size: 0x0002B12C) of module app0:sce_module/libfios2.suprx
[06:31:45.757] |I| [load_self]: Loaded module segment 1 @ [0x00083000 - 0x0008823D / 0x8102C000] (size: 0x0000523D) of module app0:sce_module/libfios2.suprx
[06:31:45.757] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libfios2.suprx
[06:31:45.757] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x82034
[06:31:45.757] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x79548
[06:31:45.757] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[06:31:45.760] |C| [load_self]: Unknown segment type 0x6FFFFF01
[06:31:45.760] |I| [load_self]: Loaded module segment 0 @ [0x00089000 - 0x0009C84C / 0x81000000] (size: 0x0001384C) of module app0:sce_module/libult.suprx
[06:31:45.760] |I| [load_self]: Loaded module segment 1 @ [0x0009D000 - 0x0009D814 / 0x81014000] (size: 0x00000814) of module app0:sce_module/libult.suprx
[06:31:45.760] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libult.suprx
[06:31:45.760] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x9B1A8
[06:31:45.761] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x98738
[06:31:45.761] |I| [pre_load_module]: Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
[06:31:45.767] |I| [load_self]: Loaded module segment 0 @ [0x0009E000 - 0x000EEF04 / 0x81000000] (size: 0x00050F04) of module vs0:sys/external/libSceFt2.suprx
[06:31:45.767] |I| [load_self]: Loaded module segment 1 @ [0x000EF000 - 0x000EF2F4 / 0x81051000] (size: 0x000002F4) of module vs0:sys/external/libSceFt2.suprx
[06:31:45.767] |I| [load_self]: Loading symbols for SELF: vs0:sys/external/libSceFt2.suprx
[06:31:45.767] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0xDA7DC
[06:31:45.767] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0xD9F10
[06:31:45.767] |I| [pre_load_module]: Pre-load module SceLibft2 (at "sys/external/libSceFt2.suprx") loaded
[06:31:45.769] |I| [load_self]: Loaded module segment 0 @ [0x000F0000 - 0x000FFF14 / 0x81000000] (size: 0x0000FF14) of module vs0:sys/external/libpvf.suprx
[06:31:45.769] |I| [load_self]: Loaded module segment 1 @ [0x00100000 - 0x00100008 / 0x81010000] (size: 0x00000008) of module vs0:sys/external/libpvf.suprx
[06:31:45.769] |I| [load_self]: Loading symbols for SELF: vs0:sys/external/libpvf.suprx
[06:31:45.769] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0xFE710
[06:31:45.769] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0xFE300
[06:31:45.769] |I| [pre_load_module]: Pre-load module SceLibPvf (at "sys/external/libpvf.suprx") loaded
[06:31:45.957] |C| [load_self]: Unknown segment type 0x6FFFFF01
[06:31:45.957] |I| [load_self]: Loaded module segment 0 @ [0x81000000 - 0x8185403C / 0x81000000] (size: 0x0085403C) of module app0:eboot.bin
[06:31:45.957] |I| [load_self]: Loaded module segment 1 @ [0x81855000 - 0x81B2669C / 0x81855000] (size: 0x002D169C) of module app0:eboot.bin
[06:31:45.957] |I| [load_self]: Loading symbols for SELF: app0:eboot.bin
[06:31:45.957] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x817A1E88
[06:31:45.957] |D| [load_var_exports]: 	NID 0x70FBA1E7 (SCE_PROC_PARAMS) at 0x8186E848
[06:31:45.957] |I| [load_app_impl]: Main executable SM7_EX_EU_DGP (eboot.bin) loaded
[06:31:45.960] |D| [run_app]: Running module_start of library: SceLibc at address 0x4809
[06:31:45.963] |I| [run_app]: Module SceLibc (at "app0:sce_module/libc.suprx") module_start returned 0x0
[06:31:45.964] |D| [run_app]: Running module_start of library: SceLibFios2 at address 0x57001
[06:31:45.965] |W| [stubbed_impl]: Stubbed sceKernelGetProcessId import called. (pid: 0)
[06:31:45.966] |W| [unimplemented_impl]: Unimplemented sceFiosOverlayGetList02 import called.
[06:31:45.966] |I| [run_app]: Module SceLibFios2 (at "app0:sce_module/libfios2.suprx") module_start returned 0x0
[06:31:45.966] |D| [run_app]: Running module_start of library: SceUlt at address 0x8C661
[06:31:45.968] |W| [unimplemented_impl]: Unimplemented _sceUlobjMgrRegisterLibultProtocolRevision import called.
[06:31:45.968] |I| [run_app]: Module SceUlt (at "app0:sce_module/libult.suprx") module_start returned 0x0
[06:31:45.975] |I| [load_module]: Loading module ID: 0x13
[06:31:45.975] |C| [load_self]: Unknown segment type 0x6FFFFF01
[06:31:45.975] |I| [load_self]: Loaded module segment 0 @ [0x00146000 - 0x0014908C / 0x81000000] (size: 0x0000308C) of module sys/external/libsystemgesture.suprx
[06:31:45.976] |I| [load_self]: Loaded module segment 1 @ [0x00142000 - 0x00142BF0 / 0x81004000] (size: 0x00000BF0) of module sys/external/libsystemgesture.suprx
[06:31:45.976] |I| [load_self]: Loading symbols for SELF: sys/external/libsystemgesture.suprx
[06:31:45.976] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x149074
[06:31:45.976] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x148BD4
[06:31:45.976] |I| [load_module]: Module SceSystemGesture (at "sys/external/libsystemgesture.suprx") loaded
[06:31:45.976] |D| [load_module]: Running module_start of module: SceSystemGesture
[06:31:45.978] |I| [load_module]: Module SceSystemGesture (at "sys/external/libsystemgesture.suprx") module_start returned 0x0
[06:31:45.978] |I| [load_module]: Loading module ID: 0x4
[06:31:45.981] |C| [load_self]: Unknown segment type 0x6FFFFF01
[06:31:45.981] |I| [load_self]: Loaded module segment 0 @ [0x0014C000 - 0x00169150 / 0x81000000] (size: 0x0001D150) of module sys/external/libhttp.suprx
