[06:53:02.592] |I| [load_app_impl]: ngs experimental state: true
[06:53:02.592] |I| [load_app_impl]: video player state: true
[06:53:02.592] |I| [load_app_impl]: auto-lle: enabled
[06:53:02.593] |I| [load_app_impl]: Title: NAtURAL DOCtRINE
[06:53:02.593] |I| [load_app_impl]: Serial: PCSB00594
[06:53:02.593] |I| [load_app_impl]: Version: 1.00
[06:53:02.593] |I| [load_app_impl]: Category: gd
[06:53:02.634] |C| [load_self]: Unknown segment type 0x6FFFFF01
[06:53:02.635] |I| [load_self]: Loaded module segment 0 @ [0x00004000 - 0x000513BC / 0x81000000] (size: 0x0004D3BC) of module app0:sce_module/libc.suprx
[06:53:02.635] |I| [load_self]: Loaded module segment 1 @ [0x00052000 - 0x000546F0 / 0x8104E000] (size: 0x000026F0) of module app0:sce_module/libc.suprx
[06:53:02.635] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libc.suprx
[06:53:02.635] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x47164
[06:53:02.635] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x3D0FC
[06:53:02.635] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (UNRECOGNISED) at 0x410BC, setting to stub value 0xDEADBEEF
[06:53:02.636] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x42B70, setting to stub value 0xDEADBEEF
[06:53:02.636] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[06:53:02.657] |C| [load_self]: Unknown segment type 0x6FFFFF01
[06:53:02.657] |I| [load_self]: Loaded module segment 0 @ [0x00057000 - 0x0006EED8 / 0x81000000] (size: 0x00017ED8) of module app0:sce_module/libface.suprx
[06:53:02.657] |I| [load_self]: Loaded module segment 1 @ [0x0006F000 - 0x0006F0F8 / 0x81018000] (size: 0x000000F8) of module app0:sce_module/libface.suprx
[06:53:02.657] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libface.suprx
[06:53:02.657] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x6BD70
[06:53:02.657] |I| [pre_load_module]: Pre-load module SceFace (at "sce_module/libface.suprx") loaded
[06:53:02.675] |C| [load_self]: Unknown segment type 0x6FFFFF01
[06:53:02.675] |I| [load_self]: Loaded module segment 0 @ [0x00070000 - 0x0009B12C / 0x81000000] (size: 0x0002B12C) of module app0:sce_module/libfios2.suprx
[06:53:02.675] |I| [load_self]: Loaded module segment 1 @ [0x0009C000 - 0x000A123D / 0x8102C000] (size: 0x0000523D) of module app0:sce_module/libfios2.suprx
[06:53:02.675] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libfios2.suprx
[06:53:02.675] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x9B034
[06:53:02.675] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x92548
[06:53:02.675] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[06:53:02.726] |C| [load_self]: Unknown segment type 0x6FFFFF01
[06:53:02.726] |I| [load_self]: Loaded module segment 0 @ [0x000A2000 - 0x002A0E9C / 0x81000000] (size: 0x001FEE9C) of module app0:sce_module/libsmart.suprx
[06:53:02.726] |I| [load_self]: Loaded module segment 1 @ [0x002A1000 - 0x002A45C4 / 0x811FF000] (size: 0x000035C4) of module app0:sce_module/libsmart.suprx
[06:53:02.727] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libsmart.suprx
[06:53:02.727] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x142258
[06:53:02.727] |I| [pre_load_module]: Pre-load module SceSmart (at "sce_module/libsmart.suprx") loaded
[06:53:02.741] |C| [load_self]: Unknown segment type 0x6FFFFF01
[06:53:02.741] |I| [load_self]: Loaded module segment 0 @ [0x002A5000 - 0x002B8A9C / 0x81000000] (size: 0x00013A9C) of module app0:sce_module/libult.suprx
[06:53:02.741] |I| [load_self]: Loaded module segment 1 @ [0x002B9000 - 0x002B9814 / 0x81014000] (size: 0x00000814) of module app0:sce_module/libult.suprx
[06:53:02.741] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libult.suprx
[06:53:02.742] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x2B73C8
[06:53:02.742] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x2B4944
[06:53:02.742] |I| [pre_load_module]: Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
