[21:48:59.295] |I| [load_app_impl]: ngs experimental state: true
[21:48:59.295] |I| [load_app_impl]: video player state: true
[21:48:59.295] |I| [load_app_impl]: lle-modules: libsas,libSceJson,liblocation,libatrac,libSceXml,libvoice,librudp,libpgf
[21:48:59.295] |I| [load_app_impl]: Title: Criminal Girls: Invite Only
[21:48:59.295] |I| [load_app_impl]: Serial: PCSB00636
[21:48:59.296] |I| [load_app_impl]: Version: 1.00
[21:48:59.296] |I| [load_app_impl]: Category: gd
[21:48:59.357] |C| [load_self]: Unknown segment type 0x6FFFFF01
[21:48:59.357] |I| [load_self]: Loaded module segment 0 @ [0x00004000 - 0x00053C54 / 0x81000000] (size: 0x0004FC54) of module ux0:app\PCSB00636\sce_module\libc.suprx
[21:48:59.357] |I| [load_self]: Loaded module segment 1 @ [0x00054000 - 0x00056688 / 0x81050000] (size: 0x00002688) of module ux0:app\PCSB00636\sce_module\libc.suprx
[21:48:59.358] |I| [load_self]: Loading symbols for SELF: ux0:app\PCSB00636\sce_module\libc.suprx
[21:48:59.358] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x49744
[21:48:59.359] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x3F4F8
[21:48:59.359] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (UNRECOGNISED) at 0x43520, setting to stub value 0xDEADBEEF
[21:48:59.359] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x450A4, setting to stub value 0xDEADBEEF
[21:48:59.360] |I| [pre_load_module]: Pre-load module SceLibc (at "app\PCSB00636\sce_module\libc.suprx") loaded
[21:48:59.366] |C| [load_self]: Unknown segment type 0x6FFFFF01
[21:48:59.366] |I| [load_self]: Loaded module segment 0 @ [0x00059000 - 0x0008433C / 0x81000000] (size: 0x0002B33C) of module ux0:app\PCSB00636\sce_module\libfios2.suprx
[21:48:59.366] |I| [load_self]: Loaded module segment 1 @ [0x00085000 - 0x0008A23D / 0x8102C000] (size: 0x0000523D) of module ux0:app\PCSB00636\sce_module\libfios2.suprx
[21:48:59.367] |I| [load_self]: Loading symbols for SELF: ux0:app\PCSB00636\sce_module\libfios2.suprx
[21:48:59.368] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x84244
[21:48:59.368] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x7B878
[21:48:59.368] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "app\PCSB00636\sce_module\libfios2.suprx") loaded
[21:48:59.384] |C| [load_self]: Unknown segment type 0x6FFFFF01
[21:48:59.384] |I| [load_self]: Loaded module segment 0 @ [0x0008B000 - 0x0009E9A4 / 0x81000000] (size: 0x000139A4) of module ux0:app\PCSB00636\sce_module\libult.suprx
[21:48:59.385] |I| [load_self]: Loaded module segment 1 @ [0x0009F000 - 0x0009F814 / 0x81014000] (size: 0x00000814) of module ux0:app\PCSB00636\sce_module\libult.suprx
[21:48:59.386] |I| [load_self]: Loading symbols for SELF: ux0:app\PCSB00636\sce_module\libult.suprx
[21:48:59.386] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x9D2D0
[21:48:59.386] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x9A858
[21:48:59.387] |I| [pre_load_module]: Pre-load module SceUlt (at "app\PCSB00636\sce_module\libult.suprx") loaded
[21:48:59.393] |I| [load_self]: Loaded module segment 0 @ [0x000A0000 - 0x000F0F04 / 0x81000000] (size: 0x00050F04) of module vs0:sys/external/libSceFt2.suprx
[21:48:59.393] |I| [load_self]: Loaded module segment 1 @ [0x000F1000 - 0x000F12F4 / 0x81051000] (size: 0x000002F4) of module vs0:sys/external/libSceFt2.suprx
[21:48:59.394] |I| [load_self]: Loading symbols for SELF: vs0:sys/external/libSceFt2.suprx
[21:48:59.394] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0xDC7DC
[21:48:59.395] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0xDBF10
