[00:03:12.909] |I| [load_app_impl]: ngs experimental state: true
[00:03:12.910] |I| [load_app_impl]: video player state: true
[00:03:12.910] |I| [load_app_impl]: lle-modules: libpgf,libsas,librudp,libSceJson,liblocation,libsystemgesture,libatrac,libSceXml
[00:03:12.910] |I| [load_app_impl]: Title: Dengeki Bunko: Fighting Climax
[00:03:12.910] |I| [load_app_impl]: Serial: PCSB00763
[00:03:12.910] |I| [load_app_impl]: Version: 1.00
[00:03:12.910] |I| [load_app_impl]: Category: gd
[00:03:12.918] |C| [load_self]: Unknown segment type 0x6FFFFF01
[00:03:12.918] |I| [load_self]: Loaded module segment 0 @ [0x00004000 - 0x00053BD4 / 0x81000000] (size: 0x0004FBD4) of module ux0:app\PCSB00763\sce_module\libc.suprx
[00:03:12.918] |I| [load_self]: Loaded module segment 1 @ [0x00054000 - 0x00056688 / 0x81050000] (size: 0x00002688) of module ux0:app\PCSB00763\sce_module\libc.suprx
[00:03:12.918] |I| [load_self]: Loading symbols for SELF: ux0:app\PCSB00763\sce_module\libc.suprx
[00:03:12.919] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x496C4
[00:03:12.919] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x3F488
[00:03:12.920] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (UNRECOGNISED) at 0x434A8, setting to stub value 0xDEADBEEF
[00:03:12.920] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x4502C, setting to stub value 0xDEADBEEF
[00:03:12.921] |I| [pre_load_module]: Pre-load module SceLibc (at "app\PCSB00763\sce_module\libc.suprx") loaded
[00:03:12.923] |C| [load_self]: Unknown segment type 0x6FFFFF01
[00:03:12.923] |I| [load_self]: Loaded module segment 0 @ [0x00059000 - 0x00071CF4 / 0x81000000] (size: 0x00018CF4) of module ux0:app\PCSB00763\sce_module\libface.suprx
[00:03:12.924] |I| [load_self]: Loaded module segment 1 @ [0x00072000 - 0x000720F8 / 0x81019000] (size: 0x000000F8) of module ux0:app\PCSB00763\sce_module\libface.suprx
[00:03:12.925] |I| [load_self]: Loading symbols for SELF: ux0:app\PCSB00763\sce_module\libface.suprx
[00:03:12.925] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x6EAC0
[00:03:12.925] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x71478
[00:03:12.926] |I| [pre_load_module]: Pre-load module SceFace (at "app\PCSB00763\sce_module\libface.suprx") loaded
[00:03:12.931] |C| [load_self]: Unknown segment type 0x6FFFFF01
[00:03:12.931] |I| [load_self]: Loaded module segment 0 @ [0x00073000 - 0x0009DAA8 / 0x81000000] (size: 0x0002AAA8) of module ux0:app\PCSB00763\sce_module\libfios2.suprx
[00:03:12.933] |I| [load_self]: Loaded module segment 1 @ [0x0009E000 - 0x000A323D / 0x8102B000] (size: 0x0000523D) of module ux0:app\PCSB00763\sce_module\libfios2.suprx
[00:03:12.934] |I| [load_self]: Loading symbols for SELF: ux0:app\PCSB00763\sce_module\libfios2.suprx
[00:03:12.934] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x9D9B0
[00:03:12.934] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x95138
[00:03:12.935] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "app\PCSB00763\sce_module\libfios2.suprx") loaded
[00:03:12.974] |C| [load_self]: Unknown segment type 0x6FFFFF01
[00:03:12.974] |I| [load_self]: Loaded module segment 0 @ [0x000A4000 - 0x002A9054 / 0x81000000] (size: 0x00205054) of module ux0:app\PCSB00763\sce_module\libsmart.suprx
[00:03:12.975] |I| [load_self]: Loaded module segment 1 @ [0x002AA000 - 0x002AD5C4 / 0x81206000] (size: 0x000035C4) of module ux0:app\PCSB00763\sce_module\libsmart.suprx
[00:03:12.976] |I| [load_self]: Loading symbols for SELF: ux0:app\PCSB00763\sce_module\libsmart.suprx
[00:03:12.976] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x1476AC
[00:03:12.976] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x14E308
[00:03:12.977] |I| [pre_load_module]: Pre-load module SceSmart (at "app\PCSB00763\sce_module\libsmart.suprx") loaded
[00:03:12.979] |C| [load_self]: Unknown segment type 0x6FFFFF01
[00:03:12.980] |I| [load_self]: Loaded module segment 0 @ [0x002AE000 - 0x002C19C4 / 0x81000000] (size: 0x000139C4) of module ux0:app\PCSB00763\sce_module\libult.suprx
[00:03:12.980] |I| [load_self]: Loaded module segment 1 @ [0x002C2000 - 0x002C2814 / 0x81014000] (size: 0x00000814) of module ux0:app\PCSB00763\sce_module\libult.suprx
[00:03:12.981] |I| [load_self]: Loading symbols for SELF: ux0:app\PCSB00763\sce_module\libult.suprx
[00:03:12.981] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x2C02F0
[00:03:12.982] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x2BD874
[00:03:12.982] |I| [pre_load_module]: Pre-load module SceUlt (at "app\PCSB00763\sce_module\libult.suprx") loaded
[00:03:12.989] |I| [load_self]: Loaded module segment 0 @ [0x002C3000 - 0x00313F04 / 0x81000000] (size: 0x00050F04) of module vs0:sys/external/libSceFt2.suprx
[00:03:12.989] |I| [load_self]: Loaded module segment 1 @ [0x00314000 - 0x003142F4 / 0x81051000] (size: 0x000002F4) of module vs0:sys/external/libSceFt2.suprx
[00:03:12.990] |I| [load_self]: Loading symbols for SELF: vs0:sys/external/libSceFt2.suprx
[00:03:12.990] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x2FF7DC
[00:03:12.990] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x2FEF10
[00:03:12.991] |I| [pre_load_module]: Pre-load module SceLibft2 (at "sys/external/libSceFt2.suprx") loaded
[00:03:12.992] |I| [load_self]: Loaded module segment 0 @ [0x00315000 - 0x00324F14 / 0x81000000] (size: 0x0000FF14) of module vs0:sys/external/libpvf.suprx
[00:03:12.993] |I| [load_self]: Loaded module segment 1 @ [0x00325000 - 0x00325008 / 0x81010000] (size: 0x00000008) of module vs0:sys/external/libpvf.suprx
[00:03:12.995] |I| [load_self]: Loading symbols for SELF: vs0:sys/external/libpvf.suprx
[00:03:12.996] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x323710
[00:03:12.996] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x323300
[00:03:12.996] |I| [pre_load_module]: Pre-load module SceLibPvf (at "sys/external/libpvf.suprx") loaded
[00:03:13.075] |C| [load_self]: Unknown segment type 0x6FFFFF01
[00:03:13.075] |I| [load_self]: Loaded module segment 0 @ [0x00326000 - 0x00598710 / 0x81000000] (size: 0x00272710) of module app0:eboot.bin
[00:03:13.076] |I| [load_self]: Loaded module segment 1 @ [0x00599000 - 0x00B405EC / 0x81273000] (size: 0x005A75EC) of module app0:eboot.bin
[00:03:13.077] |I| [load_self]: Loading symbols for SELF: app0:eboot.bin
[00:03:13.077] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x547258
[00:03:13.077] |D| [load_var_exports]: 	NID 0x70FBA1E7 (SCE_PROC_PARAMS) at 0x6D22A8
[00:03:13.078] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x58CA00
[00:03:13.078] |I| [load_app_impl]: Main executable cli_psvita (eboot.bin) loaded
[00:03:13.080] |D| [run_app]: Running module_start of library: SceLibc at address 0x4805
[00:03:13.083] |T| [open_file]: sceKernelGetStdin: Opening terminal tty0:
[00:03:13.083] |T| [open_file]: sceKernelGetStdout: Opening terminal tty0:
[00:03:13.083] |T| [open_file]: sceKernelGetStderr: Opening terminal tty0:
[00:03:13.085] |I| [run_app]: Module SceLibc (at "ux0:app\PCSB00763\sce_module\libc.suprx") module_start returned 0x0
[00:03:13.085] |D| [run_app]: Running module_start of library: SceFace at address 0x6DFC5
[00:03:13.087] |I| [run_app]: Module SceFace (at "ux0:app\PCSB00763\sce_module\libface.suprx") module_start returned 0x0
[00:03:13.088] |D| [run_app]: Running module_start of library: SceLibFios2 at address 0x73001
[00:03:13.090] |W| [stubbed_impl]: Stubbed sceKernelGetProcessId import called. (pid: 0)
[00:03:13.090] |D| [export_sceFiosOverlayGetList02]: maxIDs: 127
[00:03:13.090] |W| [unimplemented_impl]: Unimplemented sceFiosOverlayGetList02 import called.
[00:03:13.091] |I| [run_app]: Module SceLibFios2 (at "ux0:app\PCSB00763\sce_module\libfios2.suprx") module_start returned 0x0
[00:03:13.091] |D| [run_app]: Running module_start of library: SceSmart at address 0xA417D
[00:03:13.094] |I| [run_app]: Module SceSmart (at "ux0:app\PCSB00763\sce_module\libsmart.suprx") module_start returned 0x0
[00:03:13.095] |D| [run_app]: Running module_start of library: SceUlt at address 0x2B1771
[00:03:13.096] |W| [unimplemented_impl]: Unimplemented _sceUlobjMgrRegisterLibultProtocolRevision import called.
[00:03:13.096] |I| [run_app]: Module SceUlt (at "ux0:app\PCSB00763\sce_module\libult.suprx") module_start returned 0x0
[00:03:13.099] |E| [call_import]: Import function for NID 0xD7F0F610 not found (thread name: PCSB00763, thread ID: 8)
[00:03:13.103] |W| [stubbed_impl]: Stubbed sceKernelGetThreadInfo import called. (STUB)
[00:03:13.116] |W| [stubbed_impl]: Stubbed _sceKernelWaitSignal import called. (sceKernelWaitSignal)
[00:03:13.116] |T| [export__sceKernelWaitSignal]: thread 45 is waiting to get signaled
[00:03:13.116] |T| [export__sceKernelWaitSignal]: thread 44 is waiting to get signaled
[00:03:13.117] |T| [export__sceKernelWaitSignal]: thread 47 is waiting to get signaled
[00:03:13.117] |T| [export__sceKernelWaitSignal]: thread 46 is waiting to get signaled
[00:03:13.117] |T| [export__sceKernelWaitSignal]: thread 48 is waiting to get signaled
[00:03:13.117] |T| [export__sceKernelWaitSignal]: thread 50 is waiting to get signaled
[00:03:13.117] |T| [export__sceKernelWaitSignal]: thread 49 is waiting to get signaled
[00:03:13.117] |T| [export__sceKernelWaitSignal]: thread 51 is waiting to get signaled
[00:03:13.158] |W| [unimplemented_impl]: Unimplemented sceAppUtilInit import called.
[00:03:13.159] |W| [stubbed_impl]: Stubbed __sceAppMgrGetAppState import called. (Set to 0.)
[00:03:13.214] |W| [stubbed_impl]: Stubbed sceGxmMapMemory import called. (always return success)
[00:03:13.214] |W| [stubbed_impl]: Stubbed sceGxmMapVertexUsseMemory import called. (always return success)
[00:03:13.215] |W| [stubbed_impl]: Stubbed sceGxmMapFragmentUsseMemory import called. (always return success)
