[05:16:44.416] |I| [load_app_impl]: ngs experimental state: true
[05:16:44.417] |I| [load_app_impl]: video player state: true
[05:16:44.417] |I| [load_app_impl]: auto-lle: enabled
[05:16:44.417] |I| [load_app_impl]: Title: Grand Kingdom
[05:16:44.417] |I| [load_app_impl]: Serial: PCSB00959
[05:16:44.417] |I| [load_app_impl]: Version: 1.00
[05:16:44.417] |I| [load_app_impl]: Category: gd
[05:16:44.466] |C| [load_self]: Unknown segment type 0x6FFFFF01
[05:16:44.466] |I| [load_self]: Loaded module segment 0 @ [0x00004000 - 0x000558A4 / 0x81000000] (size: 0x000518A4) of module app0:sce_module/libc.suprx
[05:16:44.466] |I| [load_self]: Loaded module segment 1 @ [0x00056000 - 0x000588A0 / 0x81052000] (size: 0x000028A0) of module app0:sce_module/libc.suprx
[05:16:44.466] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libc.suprx
[05:16:44.467] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x4B314
[05:16:44.467] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x404DC
[05:16:44.467] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (UNRECOGNISED) at 0x4463C, setting to stub value 0xDEADBEEF
[05:16:44.467] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x461D0, setting to stub value 0xDEADBEEF
[05:16:44.467] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[05:16:44.493] |C| [load_self]: Unknown segment type 0x6FFFFF01
[05:16:44.493] |I| [load_self]: Loaded module segment 0 @ [0x0005B000 - 0x00074000 / 0x81000000] (size: 0x00019000) of module app0:sce_module/libface.suprx
[05:16:44.493] |I| [load_self]: Loaded module segment 1 @ [0x00074000 - 0x000740F8 / 0x81019000] (size: 0x000000F8) of module app0:sce_module/libface.suprx
[05:16:44.493] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libface.suprx
[05:16:44.494] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x70DA4
[05:16:44.494] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x73784
[05:16:44.494] |I| [pre_load_module]: Pre-load module SceFace (at "sce_module/libface.suprx") loaded
[05:16:44.510] |C| [load_self]: Unknown segment type 0x6FFFFF01
[05:16:44.510] |I| [load_self]: Loaded module segment 0 @ [0x00075000 - 0x000A1CBF / 0x81000000] (size: 0x0002CCBF) of module app0:sce_module/libfios2.suprx
[05:16:44.510] |I| [load_self]: Loaded module segment 1 @ [0x000A2000 - 0x000A7255 / 0x8102D000] (size: 0x00005255) of module app0:sce_module/libfios2.suprx
[05:16:44.510] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libfios2.suprx
[05:16:44.510] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0xA1BC8
[05:16:44.510] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x98F08
[05:16:44.511] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[05:16:44.565] |C| [load_self]: Unknown segment type 0x6FFFFF01
[05:16:44.565] |I| [load_self]: Loaded module segment 0 @ [0x000A8000 - 0x002B5AF4 / 0x81000000] (size: 0x0020DAF4) of module app0:sce_module/libsmart.suprx
[05:16:44.565] |I| [load_self]: Loaded module segment 1 @ [0x002B6000 - 0x002B9444 / 0x8120E000] (size: 0x00003444) of module app0:sce_module/libsmart.suprx
[05:16:44.565] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libsmart.suprx
[05:16:44.565] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x153528
[05:16:44.565] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x15A90C
[05:16:44.565] |I| [pre_load_module]: Pre-load module SceSmart (at "sce_module/libsmart.suprx") loaded
[05:16:44.584] |C| [load_self]: Unknown segment type 0x6FFFFF01
[05:16:44.584] |I| [load_self]: Loaded module segment 0 @ [0x002BA000 - 0x002CD9BC / 0x81000000] (size: 0x000139BC) of module app0:sce_module/libult.suprx
[05:16:44.585] |I| [load_self]: Loaded module segment 1 @ [0x002CE000 - 0x002CE814 / 0x81014000] (size: 0x00000814) of module app0:sce_module/libult.suprx
[05:16:44.585] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libult.suprx
[05:16:44.585] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x2CC2E8
[05:16:44.585] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x2C9870
[05:16:44.585] |I| [pre_load_module]: Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
[05:16:44.591] |I| [load_self]: Loaded module segment 0 @ [0x002CF000 - 0x0031FF04 / 0x81000000] (size: 0x00050F04) of module vs0:sys/external/libSceFt2.suprx
[05:16:44.591] |I| [load_self]: Loaded module segment 1 @ [0x00320000 - 0x003202F4 / 0x81051000] (size: 0x000002F4) of module vs0:sys/external/libSceFt2.suprx
[05:16:44.591] |I| [load_self]: Loading symbols for SELF: vs0:sys/external/libSceFt2.suprx
[05:16:44.591] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x30B7DC
[05:16:44.591] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x30AF10
[05:16:44.592] |I| [pre_load_module]: Pre-load module SceLibft2 (at "sys/external/libSceFt2.suprx") loaded
[05:16:44.593] |I| [load_self]: Loaded module segment 0 @ [0x00321000 - 0x00330F14 / 0x81000000] (size: 0x0000FF14) of module vs0:sys/external/libpvf.suprx
[05:16:44.593] |I| [load_self]: Loaded module segment 1 @ [0x00331000 - 0x00331008 / 0x81010000] (size: 0x00000008) of module vs0:sys/external/libpvf.suprx
[05:16:44.593] |I| [load_self]: Loading symbols for SELF: vs0:sys/external/libpvf.suprx
[05:16:44.593] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x32F710
[05:16:44.593] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x32F300
[05:16:44.593] |I| [pre_load_module]: Pre-load module SceLibPvf (at "sys/external/libpvf.suprx") loaded
[05:16:44.715] |C| [load_self]: Unknown segment type 0x6FFFFF01
[05:16:44.715] |I| [load_self]: Loaded module segment 0 @ [0x00332000 - 0x007D108C / 0x81000000] (size: 0x0049F08C) of module app0:eboot.bin
[05:16:44.715] |I| [load_self]: Loaded module segment 1 @ [0x007D2000 - 0x007EEE98 / 0x814A0000] (size: 0x0001CE98) of module app0:eboot.bin
[05:16:44.715] |I| [load_self]: Loading symbols for SELF: app0:eboot.bin
[05:16:44.715] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x74CCF0
[05:16:44.716] |D| [load_var_exports]: 	NID 0x70FBA1E7 (SCE_PROC_PARAMS) at 0x7D208C
[05:16:44.716] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x7A104C
[05:16:44.716] |I| [load_app_impl]: Main executable mainVita (eboot.bin) loaded
[05:16:44.718] |D| [run_app]: Running module_start of library: SceLibc at address 0x4871
[05:16:44.722] |I| [run_app]: Module SceLibc (at "app0:sce_module/libc.suprx") module_start returned 0x0
[05:16:44.722] |D| [run_app]: Running module_start of library: SceFace at address 0x70265
[05:16:44.724] |I| [run_app]: Module SceFace (at "app0:sce_module/libface.suprx") module_start returned 0x0
[05:16:44.725] |D| [run_app]: Running module_start of library: SceLibFios2 at address 0x75001
[05:16:44.727] |W| [stubbed_impl]: Stubbed sceKernelGetProcessId import called. (pid: 0)
[05:16:44.727] |W| [unimplemented_impl]: Unimplemented sceFiosOverlayGetList02 import called.
[05:16:44.727] |I| [run_app]: Module SceLibFios2 (at "app0:sce_module/libfios2.suprx") module_start returned 0x0
[05:16:44.727] |D| [run_app]: Running module_start of library: SceSmart at address 0xA818D
[05:16:44.730] |I| [run_app]: Module SceSmart (at "app0:sce_module/libsmart.suprx") module_start returned 0x0
[05:16:44.730] |D| [run_app]: Running module_start of library: SceUlt at address 0x2BD771
[05:16:44.732] |W| [unimplemented_impl]: Unimplemented _sceUlobjMgrRegisterLibultProtocolRevision import called.
[05:16:44.732] |I| [run_app]: Module SceUlt (at "app0:sce_module/libult.suprx") module_start returned 0x0
[05:16:44.733] |W| [unimplemented_impl]: Unimplemented sceKernelRegisterThreadEventHandler import called.
