[07:28:48.994] |I| [load_app_impl]: ngs experimental state: true
[07:28:48.994] |I| [load_app_impl]: video player state: true
[07:28:48.994] |I| [load_app_impl]: auto-lle: enabled
[07:28:48.995] |I| [load_app_impl]: Title: Uncharted: Fight for Fortune™
[07:28:48.995] |I| [load_app_impl]: Serial: PCSF00220
[07:28:48.995] |I| [load_app_impl]: Version: 1.01
[07:28:48.995] |I| [load_app_impl]: Category: gp
[07:28:49.223] |C| [load_self]: Unknown segment type 0x6FFFFF01
[07:28:49.223] |I| [load_self]: Loaded module segment 0 @ [0x00004000 - 0x0003FC2C / 0x81000000] (size: 0x0003BC2C) of module ux0:app\PCSF00220\sce_module\libc.suprx
[07:28:49.223] |I| [load_self]: Loaded module segment 1 @ [0x00040000 - 0x00042380 / 0x8103C000] (size: 0x00002380) of module ux0:app\PCSF00220\sce_module\libc.suprx
[07:28:49.223] |I| [load_self]: Loading symbols for SELF: ux0:app\PCSF00220\sce_module\libc.suprx
[07:28:49.224] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x31540
[07:28:49.224] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x34D88, setting to stub value 0xDEADBEEF
[07:28:49.225] |I| [pre_load_module]: Pre-load module SceLibc (at "app\PCSF00220\sce_module\libc.suprx") loaded
[07:28:49.246] |C| [load_self]: Unknown segment type 0x6FFFFF01
[07:28:49.247] |I| [load_self]: Loaded module segment 0 @ [0x00044000 - 0x00065370 / 0x81000000] (size: 0x00021370) of module ux0:app\PCSF00220\sce_module\libfios2.suprx
[07:28:49.248] |I| [load_self]: Loaded module segment 1 @ [0x00066000 - 0x0006B1B8 / 0x81022000] (size: 0x000051B8) of module ux0:app\PCSF00220\sce_module\libfios2.suprx
[07:28:49.249] |I| [load_self]: Loading symbols for SELF: ux0:app\PCSF00220\sce_module\libfios2.suprx
[07:28:49.249] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x5ED38
[07:28:49.249] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "app\PCSF00220\sce_module\libfios2.suprx") loaded
[07:28:49.312] |C| [load_self]: Unknown segment type 0x6FFFFF01
[07:28:49.312] |I| [load_self]: Loaded module segment 0 @ [0x0006C000 - 0x0007F474 / 0x81000000] (size: 0x00013474) of module ux0:app\PCSF00220\sce_module\libult.suprx
[07:28:49.313] |I| [load_self]: Loaded module segment 1 @ [0x00080000 - 0x00080814 / 0x81014000] (size: 0x00000814) of module ux0:app\PCSF00220\sce_module\libult.suprx
