[05:37:29.472] |I| [load_app_impl]: ngs experimental state: true
[05:37:29.473] |I| [load_app_impl]: video player state: true
[05:37:29.473] |I| [load_app_impl]: auto-lle: enabled
[05:37:29.473] |I| [load_app_impl]: Title: Sly 2: Band of Thieves™
[05:37:29.473] |I| [load_app_impl]: Serial: PCSF00270
[05:37:29.473] |I| [load_app_impl]: Version: 1.00
[05:37:29.473] |I| [load_app_impl]: Category: gd
[05:37:29.522] |C| [load_self]: Unknown segment type 0x6FFFFF01
[05:37:29.522] |I| [load_self]: Loaded module segment 0 @ [0x00004000 - 0x0004E4B0 / 0x81000000] (size: 0x0004A4B0) of module app0:sce_module/libc.suprx
[05:37:29.522] |I| [load_self]: Loaded module segment 1 @ [0x0004F000 - 0x000516F4 / 0x8104B000] (size: 0x000026F4) of module app0:sce_module/libc.suprx
[05:37:29.523] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libc.suprx
[05:37:29.523] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x3AF30
[05:37:29.523] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (UNRECOGNISED) at 0x3EDF0, setting to stub value 0xDEADBEEF
[05:37:29.523] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x404A4, setting to stub value 0xDEADBEEF
[05:37:29.523] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[05:37:29.546] |C| [load_self]: Unknown segment type 0x6FFFFF01
[05:37:29.546] |I| [load_self]: Loaded module segment 0 @ [0x00054000 - 0x0006A01C / 0x81000000] (size: 0x0001601C) of module app0:sce_module/libface.suprx
[05:37:29.547] |I| [load_self]: Loaded module segment 1 @ [0x0006B000 - 0x0006B14C / 0x81017000] (size: 0x0000014C) of module app0:sce_module/libface.suprx
[05:37:29.547] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libface.suprx
[05:37:29.547] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x670C8
[05:37:29.547] |I| [pre_load_module]: Pre-load module SceFace (at "sce_module/libface.suprx") loaded
[05:37:29.562] |C| [load_self]: Unknown segment type 0x6FFFFF01
[05:37:29.562] |I| [load_self]: Loaded module segment 0 @ [0x0006C000 - 0x0009022C / 0x81000000] (size: 0x0002422C) of module app0:sce_module/libfios2.suprx
[05:37:29.562] |I| [load_self]: Loaded module segment 1 @ [0x00091000 - 0x000961A4 / 0x81025000] (size: 0x000051A4) of module app0:sce_module/libfios2.suprx
[05:37:29.562] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libfios2.suprx
[05:37:29.563] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x88B70
[05:37:29.563] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[05:37:29.623] |C| [load_self]: Unknown segment type 0x6FFFFF01
[05:37:29.624] |I| [load_self]: Loaded module segment 0 @ [0x00097000 - 0x0028EE68 / 0x81000000] (size: 0x001F7E68) of module app0:sce_module/libsmart.suprx
[05:37:29.624] |I| [load_self]: Loaded module segment 1 @ [0x0028F000 - 0x00292734 / 0x811F8000] (size: 0x00003734) of module app0:sce_module/libsmart.suprx
[05:37:29.624] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libsmart.suprx
[05:37:29.624] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x13012C
[05:37:29.624] |I| [pre_load_module]: Pre-load module SceSmart (at "sce_module/libsmart.suprx") loaded
[05:37:29.646] |C| [load_self]: Unknown segment type 0x6FFFFF01
[05:37:29.646] |I| [load_self]: Loaded module segment 0 @ [0x00293000 - 0x002A7144 / 0x81000000] (size: 0x00014144) of module app0:sce_module/libult.suprx
[05:37:29.646] |I| [load_self]: Loaded module segment 1 @ [0x002A8000 - 0x002A8814 / 0x81015000] (size: 0x00000814) of module app0:sce_module/libult.suprx
[05:37:29.646] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libult.suprx
[05:37:29.646] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x2A31CC
[05:37:29.647] |I| [pre_load_module]: Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
[05:37:29.653] |I| [load_self]: Loaded module segment 0 @ [0x002A9000 - 0x002F9F04 / 0x81000000] (size: 0x00050F04) of module vs0:sys/external/libSceFt2.suprx
[05:37:29.653] |I| [load_self]: Loaded module segment 1 @ [0x002FA000 - 0x002FA2F4 / 0x81051000] (size: 0x000002F4) of module vs0:sys/external/libSceFt2.suprx
[05:37:29.654] |I| [load_self]: Loading symbols for SELF: vs0:sys/external/libSceFt2.suprx
[05:37:29.654] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x2E57DC
[05:37:29.654] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x2E4F10
[05:37:29.654] |I| [pre_load_module]: Pre-load module SceLibft2 (at "sys/external/libSceFt2.suprx") loaded
[05:37:29.655] |I| [load_self]: Loaded module segment 0 @ [0x002FB000 - 0x0030AF14 / 0x81000000] (size: 0x0000FF14) of module vs0:sys/external/libpvf.suprx
[05:37:29.655] |I| [load_self]: Loaded module segment 1 @ [0x0030B000 - 0x0030B008 / 0x81010000] (size: 0x00000008) of module vs0:sys/external/libpvf.suprx
[05:37:29.656] |I| [load_self]: Loading symbols for SELF: vs0:sys/external/libpvf.suprx
[05:37:29.656] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x309710
[05:37:29.656] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x309300
[05:37:29.656] |I| [pre_load_module]: Pre-load module SceLibPvf (at "sys/external/libpvf.suprx") loaded
[05:37:29.746] |C| [load_self]: Unknown segment type 0x6FFFFF01
[05:37:29.746] |I| [load_self]: Loaded module segment 0 @ [0x81000000 - 0x811CB6A8 / 0x81000000] (size: 0x001CB6A8) of module app0:eboot.bin
[05:37:29.747] |I| [load_self]: Loaded module segment 1 @ [0x811CC000 - 0x8177B2A8 / 0x811CC000] (size: 0x005AF2A8) of module app0:eboot.bin
[05:37:29.747] |I| [load_self]: Loading symbols for SELF: app0:eboot.bin
[05:37:29.747] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x811928AC
[05:37:29.747] |D| [load_var_exports]: 	NID 0x70FBA1E7 (SCE_PROC_PARAMS) at 0x81229328
[05:37:29.747] |I| [load_app_impl]: Main executable Sly2_PSP2_Disk_Ship (eboot.bin) loaded
[05:37:29.749] |D| [run_app]: Running module_start of library: SceLibc at address 0x47F1
[05:37:29.789] |I| [run_app]: Module SceLibc (at "app0:sce_module/libc.suprx") module_start returned 0x0
[05:37:29.790] |D| [run_app]: Running module_start of library: SceFace at address 0x66499
[05:37:29.791] |I| [run_app]: Module SceFace (at "app0:sce_module/libface.suprx") module_start returned 0x0
[05:37:29.792] |D| [run_app]: Running module_start of library: SceLibFios2 at address 0x6C001
[05:37:29.794] |W| [stubbed_impl]: Stubbed sceKernelGetProcessId import called. (pid: 0)
[05:37:29.794] |W| [unimplemented_impl]: Unimplemented sceFiosOverlayGetList02 import called.
[05:37:29.794] |I| [run_app]: Module SceLibFios2 (at "app0:sce_module/libfios2.suprx") module_start returned 0x0
[05:37:29.794] |D| [run_app]: Running module_start of library: SceSmart at address 0x9D775
[05:37:29.797] |I| [run_app]: Module SceSmart (at "app0:sce_module/libsmart.suprx") module_start returned 0x0
[05:37:29.798] |D| [run_app]: Running module_start of library: SceUlt at address 0x29684D
[05:37:29.799] |W| [unimplemented_impl]: Unimplemented _sceUlobjMgrRegisterLibultProtocolRevision import called.
[05:37:29.800] |I| [run_app]: Module SceUlt (at "app0:sce_module/libult.suprx") module_start returned 0x0
[05:37:29.807] |W| [unimplemented_impl]: Unimplemented sceAppUtilInit import called.
[05:37:29.817] |W| [unimplemented_impl]: Unimplemented sceKernelChangeThreadVfpException import called.
