[05:37:39.360] |I| [load_app_impl]: ngs experimental state: true
[05:37:39.360] |I| [load_app_impl]: video player state: true
[05:37:39.360] |I| [load_app_impl]: auto-lle: enabled
[05:37:39.360] |I| [load_app_impl]: Title: Sly 3: Honour Among Thieves™
[05:37:39.360] |I| [load_app_impl]: Serial: PCSF00271
[05:37:39.360] |I| [load_app_impl]: Version: 1.00
[05:37:39.361] |I| [load_app_impl]: Category: gd
[05:37:39.426] |C| [load_self]: Unknown segment type 0x6FFFFF01
[05:37:39.426] |I| [load_self]: Loaded module segment 0 @ [0x00004000 - 0x0004E4B0 / 0x81000000] (size: 0x0004A4B0) of module app0:sce_module/libc.suprx
[05:37:39.426] |I| [load_self]: Loaded module segment 1 @ [0x0004F000 - 0x000516F4 / 0x8104B000] (size: 0x000026F4) of module app0:sce_module/libc.suprx
[05:37:39.426] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libc.suprx
[05:37:39.427] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x3AF30
[05:37:39.427] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (UNRECOGNISED) at 0x3EDF0, setting to stub value 0xDEADBEEF
[05:37:39.427] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x404A4, setting to stub value 0xDEADBEEF
[05:37:39.427] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[05:37:39.430] |C| [load_self]: Unknown segment type 0x6FFFFF01
[05:37:39.430] |I| [load_self]: Loaded module segment 0 @ [0x00054000 - 0x0006A01C / 0x81000000] (size: 0x0001601C) of module app0:sce_module/libface.suprx
[05:37:39.430] |I| [load_self]: Loaded module segment 1 @ [0x0006B000 - 0x0006B14C / 0x81017000] (size: 0x0000014C) of module app0:sce_module/libface.suprx
[05:37:39.430] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libface.suprx
[05:37:39.430] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x670C8
[05:37:39.430] |I| [pre_load_module]: Pre-load module SceFace (at "sce_module/libface.suprx") loaded
[05:37:39.452] |C| [load_self]: Unknown segment type 0x6FFFFF01
[05:37:39.452] |I| [load_self]: Loaded module segment 0 @ [0x0006C000 - 0x0009022C / 0x81000000] (size: 0x0002422C) of module app0:sce_module/libfios2.suprx
[05:37:39.452] |I| [load_self]: Loaded module segment 1 @ [0x00091000 - 0x000961A4 / 0x81025000] (size: 0x000051A4) of module app0:sce_module/libfios2.suprx
[05:37:39.452] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libfios2.suprx
[05:37:39.452] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x88B70
[05:37:39.452] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[05:37:39.528] |C| [load_self]: Unknown segment type 0x6FFFFF01
[05:37:39.528] |I| [load_self]: Loaded module segment 0 @ [0x00097000 - 0x0028EE68 / 0x81000000] (size: 0x001F7E68) of module app0:sce_module/libsmart.suprx
[05:37:39.528] |I| [load_self]: Loaded module segment 1 @ [0x0028F000 - 0x00292734 / 0x811F8000] (size: 0x00003734) of module app0:sce_module/libsmart.suprx
[05:37:39.529] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libsmart.suprx
[05:37:39.529] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x13012C
[05:37:39.529] |I| [pre_load_module]: Pre-load module SceSmart (at "sce_module/libsmart.suprx") loaded
[05:37:39.581] |C| [load_self]: Unknown segment type 0x6FFFFF01
[05:37:39.581] |I| [load_self]: Loaded module segment 0 @ [0x00293000 - 0x002A7144 / 0x81000000] (size: 0x00014144) of module app0:sce_module/libult.suprx
[05:37:39.581] |I| [load_self]: Loaded module segment 1 @ [0x002A8000 - 0x002A8814 / 0x81015000] (size: 0x00000814) of module app0:sce_module/libult.suprx
[05:37:39.581] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libult.suprx
[05:37:39.581] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x2A31CC
[05:37:39.581] |I| [pre_load_module]: Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
[05:37:39.588] |I| [load_self]: Loaded module segment 0 @ [0x002A9000 - 0x002F9F04 / 0x81000000] (size: 0x00050F04) of module vs0:sys/external/libSceFt2.suprx
[05:37:39.588] |I| [load_self]: Loaded module segment 1 @ [0x002FA000 - 0x002FA2F4 / 0x81051000] (size: 0x000002F4) of module vs0:sys/external/libSceFt2.suprx
[05:37:39.588] |I| [load_self]: Loading symbols for SELF: vs0:sys/external/libSceFt2.suprx
[05:37:39.588] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x2E57DC
[05:37:39.588] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x2E4F10
[05:37:39.588] |I| [pre_load_module]: Pre-load module SceLibft2 (at "sys/external/libSceFt2.suprx") loaded
[05:37:39.590] |I| [load_self]: Loaded module segment 0 @ [0x002FB000 - 0x0030AF14 / 0x81000000] (size: 0x0000FF14) of module vs0:sys/external/libpvf.suprx
[05:37:39.592] |I| [load_self]: Loaded module segment 1 @ [0x0030B000 - 0x0030B008 / 0x81010000] (size: 0x00000008) of module vs0:sys/external/libpvf.suprx
[05:37:39.592] |I| [load_self]: Loading symbols for SELF: vs0:sys/external/libpvf.suprx
[05:37:39.592] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x309710
[05:37:39.592] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x309300
[05:37:39.592] |I| [pre_load_module]: Pre-load module SceLibPvf (at "sys/external/libpvf.suprx") loaded
[05:37:39.646] |C| [load_self]: Unknown segment type 0x6FFFFF01
[05:37:39.646] |I| [load_self]: Loaded module segment 0 @ [0x81000000 - 0x8122BE6C / 0x81000000] (size: 0x0022BE6C) of module app0:eboot.bin
[05:37:39.646] |I| [load_self]: Loaded module segment 1 @ [0x8122C000 - 0x81676558 / 0x8122C000] (size: 0x0044A558) of module app0:eboot.bin
[05:37:39.646] |I| [load_self]: Loading symbols for SELF: app0:eboot.bin
[05:37:39.646] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x811E7CF0
[05:37:39.647] |D| [load_var_exports]: 	NID 0x70FBA1E7 (SCE_PROC_PARAMS) at 0x812997A8
[05:37:39.647] |I| [load_app_impl]: Main executable Sly3_PSP2_Disk_Ship (eboot.bin) loaded
[05:37:39.649] |D| [run_app]: Running module_start of library: SceLibc at address 0x47F1
[05:37:39.688] |I| [run_app]: Module SceLibc (at "app0:sce_module/libc.suprx") module_start returned 0x0
[05:37:39.688] |D| [run_app]: Running module_start of library: SceFace at address 0x66499
[05:37:39.690] |I| [run_app]: Module SceFace (at "app0:sce_module/libface.suprx") module_start returned 0x0
[05:37:39.691] |D| [run_app]: Running module_start of library: SceLibFios2 at address 0x6C001
[05:37:39.692] |W| [stubbed_impl]: Stubbed sceKernelGetProcessId import called. (pid: 0)
