[08:05:07.413] |I| [load_app_impl]: cpu-backend: Dynarmic
[08:05:07.413] |I| [load_app_impl]: CPU Optimisation state: true
[08:05:07.414] |I| [load_app_impl]: at9 audio decoder state: true
[08:05:07.414] |I| [load_app_impl]: ngs experimental state: true
[08:05:07.414] |I| [load_app_impl]: video player state: true
[08:05:07.414] |I| [load_app_impl]: lle-modules: libpgf,libSceXml,libsas,librudp,liblocation,libhandwriting,libSceJson
[08:05:07.414] |I| [load_app_impl]: Title: SpongeBob HeroPants
[08:05:07.414] |I| [load_app_impl]: Serial: PCSB00716
[08:05:07.414] |I| [load_app_impl]: Version: 1.00
[08:05:07.414] |I| [load_app_impl]: Category: gd
[08:05:07.468] |C| [load_self]: Unknown segment type 0x6FFFFF01
[08:05:07.469] |I| [load_self]: Loaded module segment 0 @ [0x00007000 - 0x00056BD4 / 0x81000000] (size: 0x0004FBD4) of module ux0:app\PCSB00716\sce_module\libc.suprx
[08:05:07.469] |I| [load_self]: Loaded module segment 1 @ [0x00057000 - 0x00059688 / 0x81050000] (size: 0x00002688) of module ux0:app\PCSB00716\sce_module\libc.suprx
[08:05:07.469] |I| [load_self]: Loading symbols for SELF: ux0:app\PCSB00716\sce_module\libc.suprx
[08:05:07.470] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x4C6C4
[08:05:07.470] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x42488
[08:05:07.470] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (UNRECOGNISED) at 0x464A8, setting to stub value 0xDEADBEEF
[08:05:07.471] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x4802C, setting to stub value 0xDEADBEEF
[08:05:07.471] |I| [pre_load_module]: Pre-load module SceLibc (at "app\PCSB00716\sce_module\libc.suprx") loaded
[08:05:07.507] |C| [load_self]: Unknown segment type 0x6FFFFF01
[08:05:07.507] |I| [load_self]: Loaded module segment 0 @ [0x0005C000 - 0x00074CF4 / 0x81000000] (size: 0x00018CF4) of module ux0:app\PCSB00716\sce_module\libface.suprx
[08:05:07.508] |I| [load_self]: Loaded module segment 1 @ [0x00075000 - 0x000750F8 / 0x81019000] (size: 0x000000F8) of module ux0:app\PCSB00716\sce_module\libface.suprx
[08:05:07.508] |I| [load_self]: Loading symbols for SELF: ux0:app\PCSB00716\sce_module\libface.suprx
[08:05:07.508] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x71AC0
[08:05:07.508] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x74478
[08:05:07.508] |I| [pre_load_module]: Pre-load module SceFace (at "app\PCSB00716\sce_module\libface.suprx") loaded
[08:05:07.530] |C| [load_self]: Unknown segment type 0x6FFFFF01
[08:05:07.531] |I| [load_self]: Loaded module segment 0 @ [0x00076000 - 0x000A0AA8 / 0x81000000] (size: 0x0002AAA8) of module ux0:app\PCSB00716\sce_module\libfios2.suprx
[08:05:07.531] |I| [load_self]: Loaded module segment 1 @ [0x000A1000 - 0x000A623D / 0x8102B000] (size: 0x0000523D) of module ux0:app\PCSB00716\sce_module\libfios2.suprx
[08:05:07.531] |I| [load_self]: Loading symbols for SELF: ux0:app\PCSB00716\sce_module\libfios2.suprx
[08:05:07.531] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0xA09B0
[08:05:07.531] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x98138
[08:05:07.532] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "app\PCSB00716\sce_module\libfios2.suprx") loaded
[08:05:07.584] |C| [load_self]: Unknown segment type 0x6FFFFF01
[08:05:07.584] |I| [load_self]: Loaded module segment 0 @ [0x000A7000 - 0x002AC054 / 0x81000000] (size: 0x00205054) of module ux0:app\PCSB00716\sce_module\libsmart.suprx
[08:05:07.584] |I| [load_self]: Loaded module segment 1 @ [0x002AD000 - 0x002B05C4 / 0x81206000] (size: 0x000035C4) of module ux0:app\PCSB00716\sce_module\libsmart.suprx
[08:05:07.585] |I| [load_self]: Loading symbols for SELF: ux0:app\PCSB00716\sce_module\libsmart.suprx
[08:05:07.585] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x14A6AC
[08:05:07.585] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x151308
[08:05:07.585] |I| [pre_load_module]: Pre-load module SceSmart (at "app\PCSB00716\sce_module\libsmart.suprx") loaded
[08:05:07.599] |C| [load_self]: Unknown segment type 0x6FFFFF01
[08:05:07.599] |I| [load_self]: Loaded module segment 0 @ [0x002B1000 - 0x002C49C4 / 0x81000000] (size: 0x000139C4) of module ux0:app\PCSB00716\sce_module\libult.suprx
