[08:20:48.418] |I| [load_app_impl]: ngs experimental state: true
[08:20:48.418] |I| [load_app_impl]: video player state: true
[08:20:48.419] |I| [load_app_impl]: lle-modules: libpgf,libsas,librudp,libSceJson,libSceXml,liblocation,libsystemgesture
[08:20:48.419] |I| [load_app_impl]: Title: Grand Kingdom
[08:20:48.419] |I| [load_app_impl]: Serial: PCSB00959
[08:20:48.419] |I| [load_app_impl]: Version: 1.00
[08:20:48.419] |I| [load_app_impl]: Category: gd
[08:20:48.498] |C| [load_self]: Unknown segment type 0x6FFFFF01
[08:20:48.498] |I| [load_self]: Loaded module segment 0 @ [0x00004000 - 0x000558A4 / 0x81000000] (size: 0x000518A4) of module app0:sce_module/libc.suprx
[08:20:48.498] |I| [load_self]: Loaded module segment 1 @ [0x00056000 - 0x000588A0 / 0x81052000] (size: 0x000028A0) of module app0:sce_module/libc.suprx
[08:20:48.498] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libc.suprx
[08:20:48.499] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x4B314
[08:20:48.499] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x404DC
[08:20:48.499] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (UNRECOGNISED) at 0x4463C, setting to stub value 0xDEADBEEF
[08:20:48.499] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x461D0, setting to stub value 0xDEADBEEF
[08:20:48.499] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[08:20:48.514] |C| [load_self]: Unknown segment type 0x6FFFFF01
[08:20:48.514] |I| [load_self]: Loaded module segment 0 @ [0x0005B000 - 0x00074000 / 0x81000000] (size: 0x00019000) of module app0:sce_module/libface.suprx
[08:20:48.514] |I| [load_self]: Loaded module segment 1 @ [0x00074000 - 0x000740F8 / 0x81019000] (size: 0x000000F8) of module app0:sce_module/libface.suprx
[08:20:48.514] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libface.suprx
[08:20:48.514] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x70DA4
[08:20:48.514] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x73784
[08:20:48.514] |I| [pre_load_module]: Pre-load module SceFace (at "sce_module/libface.suprx") loaded
[08:20:48.530] |C| [load_self]: Unknown segment type 0x6FFFFF01
[08:20:48.530] |I| [load_self]: Loaded module segment 0 @ [0x00075000 - 0x000A1CBF / 0x81000000] (size: 0x0002CCBF) of module app0:sce_module/libfios2.suprx
[08:20:48.530] |I| [load_self]: Loaded module segment 1 @ [0x000A2000 - 0x000A7255 / 0x8102D000] (size: 0x00005255) of module app0:sce_module/libfios2.suprx
[08:20:48.530] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libfios2.suprx
[08:20:48.530] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0xA1BC8
[08:20:48.530] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x98F08
[08:20:48.530] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[08:20:48.584] |C| [load_self]: Unknown segment type 0x6FFFFF01
[08:20:48.584] |I| [load_self]: Loaded module segment 0 @ [0x000A8000 - 0x002B5AF4 / 0x81000000] (size: 0x0020DAF4) of module app0:sce_module/libsmart.suprx
[08:20:48.584] |I| [load_self]: Loaded module segment 1 @ [0x002B6000 - 0x002B9444 / 0x8120E000] (size: 0x00003444) of module app0:sce_module/libsmart.suprx
[08:20:48.584] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libsmart.suprx
[08:20:48.585] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x153528
[08:20:48.585] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x15A90C
[08:20:48.585] |I| [pre_load_module]: Pre-load module SceSmart (at "sce_module/libsmart.suprx") loaded
[08:20:48.588] |C| [load_self]: Unknown segment type 0x6FFFFF01
[08:20:48.588] |I| [load_self]: Loaded module segment 0 @ [0x002BA000 - 0x002CD9BC / 0x81000000] (size: 0x000139BC) of module app0:sce_module/libult.suprx
[08:20:48.588] |I| [load_self]: Loaded module segment 1 @ [0x002CE000 - 0x002CE814 / 0x81014000] (size: 0x00000814) of module app0:sce_module/libult.suprx
[08:20:48.588] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libult.suprx
[08:20:48.588] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x2CC2E8
[08:20:48.588] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x2C9870
[08:20:48.588] |I| [pre_load_module]: Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
[08:20:48.594] |I| [load_self]: Loaded module segment 0 @ [0x002CF000 - 0x0031FF04 / 0x81000000] (size: 0x00050F04) of module vs0:sys/external/libSceFt2.suprx
[08:20:48.594] |I| [load_self]: Loaded module segment 1 @ [0x00320000 - 0x003202F4 / 0x81051000] (size: 0x000002F4) of module vs0:sys/external/libSceFt2.suprx
[08:20:48.594] |I| [load_self]: Loading symbols for SELF: vs0:sys/external/libSceFt2.suprx
[08:20:48.594] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x30B7DC
[08:20:48.595] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x30AF10
[08:20:48.595] |I| [pre_load_module]: Pre-load module SceLibft2 (at "sys/external/libSceFt2.suprx") loaded
[08:20:48.596] |I| [load_self]: Loaded module segment 0 @ [0x00321000 - 0x00330F14 / 0x81000000] (size: 0x0000FF14) of module vs0:sys/external/libpvf.suprx
[08:20:48.596] |I| [load_self]: Loaded module segment 1 @ [0x00331000 - 0x00331008 / 0x81010000] (size: 0x00000008) of module vs0:sys/external/libpvf.suprx
[08:20:48.596] |I| [load_self]: Loading symbols for SELF: vs0:sys/external/libpvf.suprx
[08:20:48.596] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x32F710
