[02:42:57.164] |I| [load_app_impl]: cpu-backend: Dynarmic
[02:42:57.164] |I| [load_app_impl]: ngs experimental state: true
[02:42:57.165] |I| [load_app_impl]: video player state: true
[02:42:57.165] |I| [load_app_impl]: lle-modules: libSceJson,liblocation,libSceXml,libpgf,libvoice,librudp,libSceSqlite,libvoiceqos,libsas
[02:42:57.166] |I| [load_app_impl]: Title: Atelier Firis ~The Alchemist and the Mysterious Journey~
[02:42:57.166] |I| [load_app_impl]: Serial: PCSB01087
[02:42:57.167] |I| [load_app_impl]: Version: 1.01
[02:42:57.167] |I| [load_app_impl]: Category: gp
[02:42:57.221] |C| [load_self]: Unknown segment type 0x6FFFFF01
[02:42:57.221] |I| [load_self]: Loaded module segment 0 @ [0x0000E000 - 0x0005F8A4 / 0x81000000] (size: 0x000518A4) of module ux0:app\PCSB01087\sce_module\libc.suprx
[02:42:57.222] |I| [load_self]: Loaded module segment 1 @ [0x00060000 - 0x000628A0 / 0x81052000] (size: 0x000028A0) of module ux0:app\PCSB01087\sce_module\libc.suprx
[02:42:57.222] |I| [load_self]: Loading symbols for SELF: ux0:app\PCSB01087\sce_module\libc.suprx
[02:42:57.223] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x55314
[02:42:57.223] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x4A4DC
[02:42:57.224] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (UNRECOGNISED) at 0x4E63C, setting to stub value 0xDEADBEEF
[02:42:57.224] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x501D0, setting to stub value 0xDEADBEEF
[02:42:57.225] |I| [pre_load_module]: Pre-load module SceLibc (at "app\PCSB01087\sce_module\libc.suprx") loaded
[02:42:57.243] |C| [load_self]: Unknown segment type 0x6FFFFF01
[02:42:57.243] |I| [load_self]: Loaded module segment 0 @ [0x00065000 - 0x00091CBF / 0x81000000] (size: 0x0002CCBF) of module ux0:app\PCSB01087\sce_module\libfios2.suprx
[02:42:57.244] |I| [load_self]: Loaded module segment 1 @ [0x00092000 - 0x00097255 / 0x8102D000] (size: 0x00005255) of module ux0:app\PCSB01087\sce_module\libfios2.suprx
[02:42:57.244] |I| [load_self]: Loading symbols for SELF: ux0:app\PCSB01087\sce_module\libfios2.suprx
[02:42:57.245] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x91BC8
[02:42:57.245] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x88F08
[02:42:57.246] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "app\PCSB01087\sce_module\libfios2.suprx") loaded
[02:42:57.258] |C| [load_self]: Unknown segment type 0x6FFFFF01
[02:42:57.258] |I| [load_self]: Loaded module segment 0 @ [0x00098000 - 0x000AB9BC / 0x81000000] (size: 0x000139BC) of module ux0:app\PCSB01087\sce_module\libult.suprx
[02:42:57.259] |I| [load_self]: Loaded module segment 1 @ [0x000AC000 - 0x000AC814 / 0x81014000] (size: 0x00000814) of module ux0:app\PCSB01087\sce_module\libult.suprx
[02:42:57.259] |I| [load_self]: Loading symbols for SELF: ux0:app\PCSB01087\sce_module\libult.suprx
[02:42:57.259] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0xAA2E8
[02:42:57.260] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0xA7870
[02:42:57.260] |I| [pre_load_module]: Pre-load module SceUlt (at "app\PCSB01087\sce_module\libult.suprx") loaded
[02:42:57.268] |I| [load_self]: Loaded module segment 0 @ [0x000AD000 - 0x000FDF04 / 0x81000000] (size: 0x00050F04) of module vs0:sys/external/libSceFt2.suprx
[02:42:57.268] |I| [load_self]: Loaded module segment 1 @ [0x000FE000 - 0x000FE2F4 / 0x81051000] (size: 0x000002F4) of module vs0:sys/external/libSceFt2.suprx
[02:42:57.269] |I| [load_self]: Loading symbols for SELF: vs0:sys/external/libSceFt2.suprx
[02:42:57.269] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0xE97DC
[02:42:57.270] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0xE8F10
[02:42:57.270] |I| [pre_load_module]: Pre-load module SceLibft2 (at "sys/external/libSceFt2.suprx") loaded
[02:42:57.272] |I| [load_self]: Loaded module segment 0 @ [0x000FF000 - 0x0010EF14 / 0x81000000] (size: 0x0000FF14) of module vs0:sys/external/libpvf.suprx
[02:42:57.272] |I| [load_self]: Loaded module segment 1 @ [0x0010F000 - 0x0010F008 / 0x81010000] (size: 0x00000008) of module vs0:sys/external/libpvf.suprx
[02:42:57.273] |I| [load_self]: Loading symbols for SELF: vs0:sys/external/libpvf.suprx
[02:42:57.273] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x10D710
[02:42:57.274] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x10D300
[02:42:57.274] |I| [pre_load_module]: Pre-load module SceLibPvf (at "sys/external/libpvf.suprx") loaded
[02:42:57.511] |C| [load_self]: Unknown segment type 0x6FFFFF01
[02:42:57.512] |I| [load_self]: Loaded module segment 0 @ [0x00110000 - 0x009B9864 / 0x81000000] (size: 0x008A9864) of module app0:eboot.bin
[02:42:57.513] |I| [load_self]: Loaded module segment 1 @ [0x009BA000 - 0x00BA1114 / 0x818AA000] (size: 0x001E7114) of module app0:eboot.bin
[02:42:57.513] |I| [load_self]: Loading symbols for SELF: app0:eboot.bin
[02:42:57.514] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x69F540
[02:42:57.514] |D| [load_var_exports]: 	NID 0x70FBA1E7 (SCE_PROC_PARAMS) at 0xA4C940
[02:42:57.514] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x992468
[02:42:57.515] |I| [load_app_impl]: Main executable A18_PSVita_MasterROM (eboot.bin) loaded
[02:42:57.523] |D| [run_app]: Running module_start of library: SceLibc at address 0xE871
[02:42:57.541] |I| [run_app]: Module SceLibc (at "ux0:app\PCSB01087\sce_module\libc.suprx") module_start returned 0x0
[02:42:57.545] |D| [run_app]: Running module_start of library: SceLibFios2 at address 0x65001
[02:42:57.552] |W| [stubbed_impl]: Stubbed sceKernelGetProcessId import called. (pid: 0)
[02:42:57.552] |D| [export_sceFiosOverlayGetList02]: maxIDs: 127
[02:42:57.553] |W| [unimplemented_impl]: Unimplemented sceFiosOverlayGetList02 import called.
[02:42:57.553] |I| [run_app]: Module SceLibFios2 (at "ux0:app\PCSB01087\sce_module\libfios2.suprx") module_start returned 0x0
[02:42:57.557] |D| [run_app]: Running module_start of library: SceUlt at address 0x9B771
[02:42:57.564] |W| [unimplemented_impl]: Unimplemented _sceUlobjMgrRegisterLibultProtocolRevision import called.
[02:42:57.565] |I| [run_app]: Module SceUlt (at "ux0:app\PCSB01087\sce_module\libult.suprx") module_start returned 0x0
[02:42:57.571] |W| [unimplemented_impl]: Unimplemented sceKernelRegisterThreadEventHandler import called.
[02:42:57.672] |W| [unimplemented_impl]: Unimplemented sceAppUtilInit import called.
[02:42:57.690] |W| [unimplemented_impl]: Unimplemented sceKernelChangeThreadVfpException import called.
[02:42:57.690] |W| [unimplemented_impl]: Unimplemented sceFiosOverlayThreadSetDisabled02 import called.
[02:42:57.718] |W| [stubbed_impl]: Stubbed sceKernelLockLwMutexCB import called. (no CB)
[02:42:57.757] |W| [stubbed_impl]: Stubbed sceGxmMapMemory import called. (always return success)
[02:42:57.812] |W| [stubbed_impl]: Stubbed sceGxmMapVertexUsseMemory import called. (always return success)
[02:42:57.812] |W| [stubbed_impl]: Stubbed sceGxmMapFragmentUsseMemory import called. (always return success)
[02:42:57.816] |W| [unimplemented_impl]: Unimplemented sceGxmProgramParameterIsRegFormat import called.
