[06:41:33.829] |I| [load_app_impl]: cpu-backend: Dynarmic
[06:41:33.829] |I| [load_app_impl]: CPU Optimisation state: true
[06:41:33.829] |I| [load_app_impl]: at9 audio decoder state: true
[06:41:33.830] |I| [load_app_impl]: ngs experimental state: true
[06:41:33.830] |I| [load_app_impl]: video player state: true
[06:41:33.830] |I| [load_app_impl]: lle-modules: libpgf,libSceXml,libsas,liblocation,libhandwriting,libSceJson,librudp
[06:41:33.830] |I| [load_app_impl]: Title: Muv-Luv
[06:41:33.830] |I| [load_app_impl]: Serial: PCSB01234
[06:41:33.830] |I| [load_app_impl]: Version: 1.00
[06:41:33.830] |I| [load_app_impl]: Category: gd
[06:41:33.859] |C| [load_self]: Unknown segment type 0x6FFFFF01
[06:41:33.859] |I| [load_self]: Loaded module segment 0 @ [0x00007000 - 0x0005891C / 0x81000000] (size: 0x0005191C) of module ux0:app\PCSB01234\sce_module\libc.suprx
[06:41:33.859] |I| [load_self]: Loaded module segment 1 @ [0x00059000 - 0x0005B8A0 / 0x81052000] (size: 0x000028A0) of module ux0:app\PCSB01234\sce_module\libc.suprx
[06:41:33.859] |I| [load_self]: Loading symbols for SELF: ux0:app\PCSB01234\sce_module\libc.suprx
[06:41:33.860] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x4E38C
[06:41:33.860] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x43550
[06:41:33.860] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (UNRECOGNISED) at 0x476B0, setting to stub value 0xDEADBEEF
[06:41:33.861] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x49244, setting to stub value 0xDEADBEEF
[06:41:33.861] |I| [pre_load_module]: Pre-load module SceLibc (at "app\PCSB01234\sce_module\libc.suprx") loaded
[06:41:33.869] |C| [load_self]: Unknown segment type 0x6FFFFF01
[06:41:33.870] |I| [load_self]: Loaded module segment 0 @ [0x0005E000 - 0x00077000 / 0x81000000] (size: 0x00019000) of module ux0:app\PCSB01234\sce_module\libface.suprx
[06:41:33.870] |I| [load_self]: Loaded module segment 1 @ [0x00077000 - 0x000770F8 / 0x81019000] (size: 0x000000F8) of module ux0:app\PCSB01234\sce_module\libface.suprx
[06:41:33.871] |I| [load_self]: Loading symbols for SELF: ux0:app\PCSB01234\sce_module\libface.suprx
[06:41:33.871] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x73DA4
[06:41:33.871] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x76784
[06:41:33.871] |I| [pre_load_module]: Pre-load module SceFace (at "app\PCSB01234\sce_module\libface.suprx") loaded
[06:41:33.887] |C| [load_self]: Unknown segment type 0x6FFFFF01
