[06:41:47.572] |I| [load_app_impl]: cpu-backend: Dynarmic
[06:41:47.572] |I| [load_app_impl]: CPU Optimisation state: true
[06:41:47.572] |I| [load_app_impl]: at9 audio decoder state: true
[06:41:47.573] |I| [load_app_impl]: ngs experimental state: true
[06:41:47.573] |I| [load_app_impl]: video player state: true
[06:41:47.573] |I| [load_app_impl]: lle-modules: libpgf,libSceXml,libsas,liblocation,libhandwriting,libSceJson,librudp
[06:41:47.573] |I| [load_app_impl]: Title: Muv-Luv Alternative
[06:41:47.573] |I| [load_app_impl]: Serial: PCSB01235
[06:41:47.573] |I| [load_app_impl]: Version: 1.01
[06:41:47.573] |I| [load_app_impl]: Category: gp
[06:41:47.613] |C| [load_self]: Unknown segment type 0x6FFFFF01
[06:41:47.613] |I| [load_self]: Loaded module segment 0 @ [0x00007000 - 0x0005891C / 0x81000000] (size: 0x0005191C) of module ux0:app\PCSB01235\sce_module\libc.suprx
[06:41:47.613] |I| [load_self]: Loaded module segment 1 @ [0x00059000 - 0x0005B8A0 / 0x81052000] (size: 0x000028A0) of module ux0:app\PCSB01235\sce_module\libc.suprx
[06:41:47.613] |I| [load_self]: Loading symbols for SELF: ux0:app\PCSB01235\sce_module\libc.suprx
[06:41:47.614] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x4E38C
[06:41:47.614] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x43550
[06:41:47.614] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (UNRECOGNISED) at 0x476B0, setting to stub value 0xDEADBEEF
[06:41:47.615] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x49244, setting to stub value 0xDEADBEEF
[06:41:47.615] |I| [pre_load_module]: Pre-load module SceLibc (at "app\PCSB01235\sce_module\libc.suprx") loaded
[06:41:47.623] |C| [load_self]: Unknown segment type 0x6FFFFF01
[06:41:47.623] |I| [load_self]: Loaded module segment 0 @ [0x0005E000 - 0x00077000 / 0x81000000] (size: 0x00019000) of module ux0:app\PCSB01235\sce_module\libface.suprx
[06:41:47.623] |I| [load_self]: Loaded module segment 1 @ [0x00077000 - 0x000770F8 / 0x81019000] (size: 0x000000F8) of module ux0:app\PCSB01235\sce_module\libface.suprx
[06:41:47.623] |I| [load_self]: Loading symbols for SELF: ux0:app\PCSB01235\sce_module\libface.suprx
[06:41:47.623] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x73DA4
[06:41:47.624] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x76784
[06:41:47.624] |I| [pre_load_module]: Pre-load module SceFace (at "app\PCSB01235\sce_module\libface.suprx") loaded
[06:41:47.633] |C| [load_self]: Unknown segment type 0x6FFFFF01
[06:41:47.633] |I| [load_self]: Loaded module segment 0 @ [0x00078000 - 0x000A4CBF / 0x81000000] (size: 0x0002CCBF) of module ux0:app\PCSB01235\sce_module\libfios2.suprx
[06:41:47.633] |I| [load_self]: Loaded module segment 1 @ [0x000A5000 - 0x000AA255 / 0x8102D000] (size: 0x00005255) of module ux0:app\PCSB01235\sce_module\libfios2.suprx
[06:41:47.633] |I| [load_self]: Loading symbols for SELF: ux0:app\PCSB01235\sce_module\libfios2.suprx
[06:41:47.633] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0xA4BC8
[06:41:47.633] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x9BF08
[06:41:47.633] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "app\PCSB01235\sce_module\libfios2.suprx") loaded
[06:41:47.686] |C| [load_self]: Unknown segment type 0x6FFFFF01
[06:41:47.686] |I| [load_self]: Loaded module segment 0 @ [0x000AB000 - 0x002B8AF4 / 0x81000000] (size: 0x0020DAF4) of module ux0:app\PCSB01235\sce_module\libsmart.suprx
[06:41:47.686] |I| [load_self]: Loaded module segment 1 @ [0x002B9000 - 0x002BC444 / 0x8120E000] (size: 0x00003444) of module ux0:app\PCSB01235\sce_module\libsmart.suprx
[06:41:47.686] |I| [load_self]: Loading symbols for SELF: ux0:app\PCSB01235\sce_module\libsmart.suprx
[06:41:47.687] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x156528
[06:41:47.687] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x15D90C
[06:41:47.687] |I| [pre_load_module]: Pre-load module SceSmart (at "app\PCSB01235\sce_module\libsmart.suprx") loaded
[06:41:47.691] |C| [load_self]: Unknown segment type 0x6FFFFF01
[06:41:47.691] |I| [load_self]: Loaded module segment 0 @ [0x002BD000 - 0x002D09BC / 0x81000000] (size: 0x000139BC) of module ux0:app\PCSB01235\sce_module\libult.suprx
[06:41:47.692] |I| [load_self]: Loaded module segment 1 @ [0x002D1000 - 0x002D1814 / 0x81014000] (size: 0x00000814) of module ux0:app\PCSB01235\sce_module\libult.suprx
[06:41:47.692] |I| [load_self]: Loading symbols for SELF: ux0:app\PCSB01235\sce_module\libult.suprx
[06:41:47.692] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x2CF2E8
[06:41:47.692] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x2CC870
[06:41:47.692] |I| [pre_load_module]: Pre-load module SceUlt (at "app\PCSB01235\sce_module\libult.suprx") loaded
[06:41:47.700] |I| [load_self]: Loaded module segment 0 @ [0x002D2000 - 0x00322F04 / 0x81000000] (size: 0x00050F04) of module vs0:sys/external/libSceFt2.suprx
[06:41:47.700] |I| [load_self]: Loaded module segment 1 @ [0x00323000 - 0x003232F4 / 0x81051000] (size: 0x000002F4) of module vs0:sys/external/libSceFt2.suprx
[06:41:47.700] |I| [load_self]: Loading symbols for SELF: vs0:sys/external/libSceFt2.suprx
[06:41:47.700] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x30E7DC
[06:41:47.700] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x30DF10
[06:41:47.700] |I| [pre_load_module]: Pre-load module SceLibft2 (at "sys/external/libSceFt2.suprx") loaded
[06:41:47.703] |I| [load_self]: Loaded module segment 0 @ [0x00324000 - 0x00333F14 / 0x81000000] (size: 0x0000FF14) of module vs0:sys/external/libpvf.suprx
[06:41:47.703] |I| [load_self]: Loaded module segment 1 @ [0x00334000 - 0x00334008 / 0x81010000] (size: 0x00000008) of module vs0:sys/external/libpvf.suprx
[06:41:47.703] |I| [load_self]: Loading symbols for SELF: vs0:sys/external/libpvf.suprx
[06:41:47.703] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x332710
[06:41:47.704] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x332300
[06:41:47.704] |I| [pre_load_module]: Pre-load module SceLibPvf (at "sys/external/libpvf.suprx") loaded
[06:41:47.781] |C| [load_self]: Unknown segment type 0x6FFFFF01
[06:41:47.781] |I| [load_self]: Loaded module segment 0 @ [0x00335000 - 0x00508168 / 0x81000000] (size: 0x001D3168) of module app0:eboot.bin
[06:41:47.781] |I| [load_self]: Loaded module segment 1 @ [0x00509000 - 0x005584C4 / 0x811D4000] (size: 0x0004F4C4) of module app0:eboot.bin
[06:41:47.782] |I| [load_self]: Loading symbols for SELF: app0:eboot.bin
[06:41:47.782] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x4A04DC
[06:41:47.782] |D| [load_var_exports]: 	NID 0x70FBA1E7 (SCE_PROC_PARAMS) at 0x510C2C
