[15:31:52.908] |I| [load_app_impl]: cpu-backend: Dynarmic
[15:31:52.908] |I| [load_app_impl]: CPU Optimisation state: true
[15:31:52.908] |I| [load_app_impl]: at9 audio decoder state: true
[15:31:52.908] |I| [load_app_impl]: ngs experimental state: true
[15:31:52.908] |I| [load_app_impl]: video player state: true
[15:31:52.908] |I| [load_app_impl]: modules mode: Automatic
[15:31:52.908] |I| [load_app_impl]: Title: WipEout® 2048
[15:31:52.908] |I| [load_app_impl]: Serial: PCSF00007
[15:31:52.909] |I| [load_app_impl]: Version: 1.04
[15:31:52.909] |I| [load_app_impl]: Category: gp
[15:31:52.951] |C| [load_self]: Unknown segment type 0x6FFFFF01
[15:31:52.952] |I| [load_self]: Loaded module segment 0 @ [0x00007000 - 0x000437DC / 0x81000000] (size: 0x0003C7DC) of module app0:sce_module/libc.suprx
[15:31:52.952] |I| [load_self]: Loaded module segment 1 @ [0x00044000 - 0x00046374 / 0x8103D000] (size: 0x00002374) of module app0:sce_module/libc.suprx
[15:31:52.952] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libc.suprx
[15:31:52.952] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x35220
[15:31:52.952] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x389F0, setting to stub value 0xDEADBEEF
[15:31:52.953] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[15:31:52.971] |C| [load_self]: Unknown segment type 0x6FFFFF01
[15:31:52.972] |I| [load_self]: Loaded module segment 0 @ [0x00048000 - 0x0006A1B0 / 0x81000000] (size: 0x000221B0) of module app0:sce_module/libfios2.suprx
[15:31:52.972] |I| [load_self]: Loaded module segment 1 @ [0x0006B000 - 0x000701B8 / 0x81023000] (size: 0x000051B8) of module app0:sce_module/libfios2.suprx
[15:31:52.973] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libfios2.suprx
[15:31:52.973] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x63CB0
[15:31:52.973] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[15:31:52.986] |C| [load_self]: Unknown segment type 0x6FFFFF01
[15:31:52.986] |I| [load_self]: Loaded module segment 0 @ [0x00071000 - 0x0008506C / 0x81000000] (size: 0x0001406C) of module app0:sce_module/libult.suprx
[15:31:52.986] |I| [load_self]: Loaded module segment 1 @ [0x00086000 - 0x00086814 / 0x81015000] (size: 0x00000814) of module app0:sce_module/libult.suprx
[15:31:52.986] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libult.suprx
[15:31:52.986] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x81B68
[15:31:52.986] |I| [pre_load_module]: Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
[15:31:52.993] |I| [load_self]: Loaded module segment 0 @ [0x00087000 - 0x000D7F04 / 0x81000000] (size: 0x00050F04) of module vs0:sys/external/libSceFt2.suprx
[15:31:52.994] |I| [load_self]: Loaded module segment 1 @ [0x000D8000 - 0x000D82F4 / 0x81051000] (size: 0x000002F4) of module vs0:sys/external/libSceFt2.suprx
[15:31:52.994] |I| [load_self]: Loading symbols for SELF: vs0:sys/external/libSceFt2.suprx
[15:31:52.994] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0xC37DC
[15:31:52.994] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0xC2F10
[15:31:52.994] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (UNRECOGNISED) at 0xD7EE0, setting to stub value 0xDEADBEEF
[15:31:52.994] |I| [pre_load_module]: Pre-load module SceLibft2 (at "sys/external/libSceFt2.suprx") loaded
[15:31:52.997] |I| [load_self]: Loaded module segment 0 @ [0x000DA000 - 0x000E9F14 / 0x81000000] (size: 0x0000FF14) of module vs0:sys/external/libpvf.suprx
[15:31:52.997] |I| [load_self]: Loaded module segment 1 @ [0x000EA000 - 0x000EA008 / 0x81010000] (size: 0x00000008) of module vs0:sys/external/libpvf.suprx
[15:31:52.997] |I| [load_self]: Loading symbols for SELF: vs0:sys/external/libpvf.suprx
[15:31:52.997] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0xE8710
[15:31:52.997] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0xE8300
[15:31:52.997] |I| [pre_load_module]: Pre-load module SceLibPvf (at "sys/external/libpvf.suprx") loaded
[15:31:53.104] |C| [load_self]: Unknown segment type 0x6FFFFF01
[15:31:53.105] |I| [load_self]: Loaded module segment 0 @ [0x81000000 - 0x815181E8 / 0x81000000] (size: 0x005181E8) of module app0:eboot.bin
