[08:34:48.428] |I| [load_app_impl]: cpu-backend: Dynarmic
[08:34:48.429] |I| [load_app_impl]: CPU Optimisation state: true
[08:34:48.429] |I| [load_app_impl]: at9 audio decoder state: true
[08:34:48.429] |I| [load_app_impl]: ngs experimental state: true
[08:34:48.429] |I| [load_app_impl]: video player state: true
[08:34:48.429] |I| [load_app_impl]: lle-modules: libpgf,libSceXml,libsas,liblocation,libhandwriting,libSceJson,librudp,libatrac
[08:34:48.429] |I| [load_app_impl]: Title: ASSAULT GUNNERS
[08:34:48.429] |I| [load_app_impl]: Serial: PCSG00079
[08:34:48.429] |I| [load_app_impl]: Version: 1.01
[08:34:48.430] |I| [load_app_impl]: Category: gp
[08:34:48.438] |C| [load_self]: Unknown segment type 0x6FFFFF01
[08:34:48.438] |I| [load_self]: Loaded module segment 0 @ [0x00007000 - 0x000437DC / 0x81000000] (size: 0x0003C7DC) of module ux0:app\PCSG00079\sce_module\libc.suprx
[08:34:48.439] |I| [load_self]: Loaded module segment 1 @ [0x00044000 - 0x00046374 / 0x8103D000] (size: 0x00002374) of module ux0:app\PCSG00079\sce_module\libc.suprx
[08:34:48.439] |I| [load_self]: Loading symbols for SELF: ux0:app\PCSG00079\sce_module\libc.suprx
[08:34:48.439] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x35220
[08:34:48.439] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x389F0, setting to stub value 0xDEADBEEF
[08:34:48.440] |I| [pre_load_module]: Pre-load module SceLibc (at "app\PCSG00079\sce_module\libc.suprx") loaded
[08:34:48.443] |C| [load_self]: Unknown segment type 0x6FFFFF01
[08:34:48.443] |I| [load_self]: Loaded module segment 0 @ [0x00048000 - 0x000567CC / 0x81000000] (size: 0x0000E7CC) of module ux0:app\PCSG00079\sce_module\libface.suprx
[08:34:48.443] |I| [load_self]: Loaded module segment 1 @ [0x00057000 - 0x0005707C / 0x8100F000] (size: 0x0000007C) of module ux0:app\PCSG00079\sce_module\libface.suprx
[08:34:48.443] |I| [load_self]: Loading symbols for SELF: ux0:app\PCSG00079\sce_module\libface.suprx
[08:34:48.443] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x54074
[08:34:48.443] |I| [pre_load_module]: Pre-load module libSceFace (at "app\PCSG00079\sce_module\libface.suprx") loaded
[08:34:48.449] |C| [load_self]: Unknown segment type 0x6FFFFF01
[08:34:48.449] |I| [load_self]: Loaded module segment 0 @ [0x00058000 - 0x0007A1B0 / 0x81000000] (size: 0x000221B0) of module ux0:app\PCSG00079\sce_module\libfios2.suprx
[08:34:48.449] |I| [load_self]: Loaded module segment 1 @ [0x0007B000 - 0x000801B8 / 0x81023000] (size: 0x000051B8) of module ux0:app\PCSG00079\sce_module\libfios2.suprx
[08:34:48.449] |I| [load_self]: Loading symbols for SELF: ux0:app\PCSG00079\sce_module\libfios2.suprx
[08:34:48.449] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x73CB0
[08:34:48.450] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "app\PCSG00079\sce_module\libfios2.suprx") loaded
[08:34:48.466] |C| [load_self]: Unknown segment type 0x6FFFFF01
[08:34:48.466] |I| [load_self]: Loaded module segment 0 @ [0x00081000 - 0x00110B28 / 0x81000000] (size: 0x0008FB28) of module ux0:app\PCSG00079\sce_module\libsmart.suprx
[08:34:48.466] |I| [load_self]: Loaded module segment 1 @ [0x00111000 - 0x001E44DC / 0x81090000] (size: 0x000D34DC) of module ux0:app\PCSG00079\sce_module\libsmart.suprx
[08:34:48.466] |I| [load_self]: Loading symbols for SELF: ux0:app\PCSG00079\sce_module\libsmart.suprx
[08:34:48.467] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x10AA78
[08:34:48.467] |I| [pre_load_module]: Pre-load module libSceSmart (at "app\PCSG00079\sce_module\libsmart.suprx") loaded
[08:34:48.471] |C| [load_self]: Unknown segment type 0x6FFFFF01
[08:34:48.471] |I| [load_self]: Loaded module segment 0 @ [0x001E5000 - 0x001F906C / 0x81000000] (size: 0x0001406C) of module ux0:app\PCSG00079\sce_module\libult.suprx
