[00:53:25.093] |I| [load_app_impl]: cpu-backend: Dynarmic
[00:53:25.093] |I| [load_app_impl]: CPU Optimisation state: true
[00:53:25.093] |I| [load_app_impl]: at9 audio decoder state: true
[00:53:25.093] |I| [load_app_impl]: ngs experimental state: true
[00:53:25.093] |I| [load_app_impl]: video player state: true
[00:53:25.093] |I| [load_app_impl]: modules mode: Automatic
[00:53:25.093] |I| [load_app_impl]: Title: Fate/stay night [Realta Nua]
[00:53:25.093] |I| [load_app_impl]: Serial: PCSG00122
[00:53:25.093] |I| [load_app_impl]: Version: 1.01
[00:53:25.093] |I| [load_app_impl]: Category: gp
[00:53:25.110] |C| [load_self]: Unknown segment type 0x6FFFFF01
[00:53:25.110] |I| [load_self]: Loaded module segment 0 @ [0x00007000 - 0x000437DC / 0x81000000] (size: 0x0003C7DC) of module app0:sce_module/libc.suprx
[00:53:25.110] |I| [load_self]: Loaded module segment 1 @ [0x00044000 - 0x00046374 / 0x8103D000] (size: 0x00002374) of module app0:sce_module/libc.suprx
[00:53:25.111] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libc.suprx
[00:53:25.111] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x35220
[00:53:25.111] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x389F0, setting to stub value 0xDEADBEEF
[00:53:25.111] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[00:53:25.124] |C| [load_self]: Unknown segment type 0x6FFFFF01
[00:53:25.124] |I| [load_self]: Loaded module segment 0 @ [0x00048000 - 0x0006A1B0 / 0x81000000] (size: 0x000221B0) of module app0:sce_module/libfios2.suprx
[00:53:25.124] |I| [load_self]: Loaded module segment 1 @ [0x0006B000 - 0x000701B8 / 0x81023000] (size: 0x000051B8) of module app0:sce_module/libfios2.suprx
[00:53:25.124] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libfios2.suprx
[00:53:25.124] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x63CB0
[00:53:25.124] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[00:53:25.133] |C| [load_self]: Unknown segment type 0x6FFFFF01
[00:53:25.133] |I| [load_self]: Loaded module segment 0 @ [0x00071000 - 0x0008506C / 0x81000000] (size: 0x0001406C) of module app0:sce_module/libult.suprx
[00:53:25.133] |I| [load_self]: Loaded module segment 1 @ [0x00086000 - 0x00086814 / 0x81015000] (size: 0x00000814) of module app0:sce_module/libult.suprx
[00:53:25.133] |I| [load_self]: Loading symbols for SELF: app0:sce_module/libult.suprx
[00:53:25.133] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x81B68
[00:53:25.133] |I| [pre_load_module]: Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
[00:53:25.140] |I| [load_self]: Loaded module segment 0 @ [0x00087000 - 0x000D7F04 / 0x81000000] (size: 0x00050F04) of module vs0:sys/external/libSceFt2.suprx
[00:53:25.140] |I| [load_self]: Loaded module segment 1 @ [0x000D8000 - 0x000D82F4 / 0x81051000] (size: 0x000002F4) of module vs0:sys/external/libSceFt2.suprx
[00:53:25.140] |I| [load_self]: Loading symbols for SELF: vs0:sys/external/libSceFt2.suprx
[00:53:25.140] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0xC37DC
[00:53:25.140] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0xC2F10
[00:53:25.140] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (UNRECOGNISED) at 0xD7EE0, setting to stub value 0xDEADBEEF
[00:53:25.141] |I| [pre_load_module]: Pre-load module SceLibft2 (at "sys/external/libSceFt2.suprx") loaded
[00:53:25.143] |I| [load_self]: Loaded module segment 0 @ [0x000DA000 - 0x000E9F14 / 0x81000000] (size: 0x0000FF14) of module vs0:sys/external/libpvf.suprx
[00:53:25.143] |I| [load_self]: Loaded module segment 1 @ [0x000EA000 - 0x000EA008 / 0x81010000] (size: 0x00000008) of module vs0:sys/external/libpvf.suprx
[00:53:25.143] |I| [load_self]: Loading symbols for SELF: vs0:sys/external/libpvf.suprx
[00:53:25.143] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0xE8710
[00:53:25.143] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0xE8300
[00:53:25.144] |I| [pre_load_module]: Pre-load module SceLibPvf (at "sys/external/libpvf.suprx") loaded
[00:53:25.194] |C| [load_self]: Unknown segment type 0x6FFFFF01
[00:53:25.194] |I| [load_self]: Loaded module segment 0 @ [0x81000000 - 0x811349E0 / 0x81000000] (size: 0x001349E0) of module app0:eboot.bin
[00:53:25.194] |I| [load_self]: Loaded module segment 1 @ [0x81135000 - 0x81646298 / 0x81135000] (size: 0x00511298) of module app0:eboot.bin
[00:53:25.194] |I| [load_self]: Loading symbols for SELF: app0:eboot.bin
[00:53:25.194] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x810FD210
