[07:42:18.069] |I| [load_app_impl]: cpu-backend: Dynarmic
[07:42:18.069] |I| [load_app_impl]: CPU Optimisation state: true
[07:42:18.069] |I| [load_app_impl]: at9 audio decoder state: true
[07:42:18.069] |I| [load_app_impl]: ngs experimental state: true
[07:42:18.070] |I| [load_app_impl]: video player state: true
[07:42:18.070] |I| [load_app_impl]: lle-modules: libpgf,libSceXml,libsas,liblocation,libhandwriting,libSceJson,librudp
[07:42:18.070] |I| [load_app_impl]: Title: FLOWERS
[07:42:18.070] |I| [load_app_impl]: Serial: PCSG00459
[07:42:18.070] |I| [load_app_impl]: Version: 1.01
[07:42:18.070] |I| [load_app_impl]: Category: gp
[07:42:18.147] |C| [load_self]: Unknown segment type 0x6FFFFF01
[07:42:18.147] |I| [load_self]: Loaded module segment 0 @ [0x00007000 - 0x00056BD4 / 0x81000000] (size: 0x0004FBD4) of module ux0:app\PCSG00459\sce_module\libc.suprx
[07:42:18.147] |I| [load_self]: Loaded module segment 1 @ [0x00057000 - 0x00059688 / 0x81050000] (size: 0x00002688) of module ux0:app\PCSG00459\sce_module\libc.suprx
[07:42:18.147] |I| [load_self]: Loading symbols for SELF: ux0:app\PCSG00459\sce_module\libc.suprx
[07:42:18.147] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x4C6C4
[07:42:18.148] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x42488
[07:42:18.148] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (UNRECOGNISED) at 0x464A8, setting to stub value 0xDEADBEEF
[07:42:18.148] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x4802C, setting to stub value 0xDEADBEEF
[07:42:18.149] |I| [pre_load_module]: Pre-load module SceLibc (at "app\PCSG00459\sce_module\libc.suprx") loaded
[07:42:18.170] |C| [load_self]: Unknown segment type 0x6FFFFF01
[07:42:18.170] |I| [load_self]: Loaded module segment 0 @ [0x0005C000 - 0x00086AA8 / 0x81000000] (size: 0x0002AAA8) of module ux0:app\PCSG00459\sce_module\libfios2.suprx
[07:42:18.170] |I| [load_self]: Loaded module segment 1 @ [0x00087000 - 0x0008C23D / 0x8102B000] (size: 0x0000523D) of module ux0:app\PCSG00459\sce_module\libfios2.suprx
[07:42:18.170] |I| [load_self]: Loading symbols for SELF: ux0:app\PCSG00459\sce_module\libfios2.suprx
[07:42:18.170] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x869B0
