[01:54:38.449] |I| [load_app_impl]: cpu-backend: Dynarmic
[01:54:38.449] |I| [load_app_impl]: CPU Optimisation state: true
[01:54:38.450] |I| [load_app_impl]: at9 audio decoder state: true
[01:54:38.450] |I| [load_app_impl]: ngs experimental state: true
[01:54:38.450] |I| [load_app_impl]: video player state: true
[01:54:38.450] |I| [load_app_impl]: lle-modules: libpgf,libSceXml,libsas,librudp,liblocation,libhandwriting,libSceJson
[01:54:38.450] |I| [load_app_impl]: Title: Friend to Lover ～フレラバ～
[01:54:38.451] |I| [load_app_impl]: Serial: PCSG00519
[01:54:38.451] |I| [load_app_impl]: Version: 1.00
[01:54:38.451] |I| [load_app_impl]: Category: gd
[01:54:38.545] |C| [load_self]: Unknown segment type 0x6FFFFF01
[01:54:38.545] |I| [load_self]: Loaded module segment 0 @ [0x00007000 - 0x00056C54 / 0x81000000] (size: 0x0004FC54) of module ux0:app\PCSG00519\sce_module\libc.suprx
[01:54:38.545] |I| [load_self]: Loaded module segment 1 @ [0x00057000 - 0x00059688 / 0x81050000] (size: 0x00002688) of module ux0:app\PCSG00519\sce_module\libc.suprx
[01:54:38.546] |I| [load_self]: Loading symbols for SELF: ux0:app\PCSG00519\sce_module\libc.suprx
[01:54:38.546] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x4C744
[01:54:38.547] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x424F8
[01:54:38.547] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (UNRECOGNISED) at 0x46520, setting to stub value 0xDEADBEEF
[01:54:38.548] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x480A4, setting to stub value 0xDEADBEEF
[01:54:38.550] |I| [pre_load_module]: Pre-load module SceLibc (at "app\PCSG00519\sce_module\libc.suprx") loaded
[01:54:38.601] |C| [load_self]: Unknown segment type 0x6FFFFF01
[01:54:38.601] |I| [load_self]: Loaded module segment 0 @ [0x0005C000 - 0x00074CF4 / 0x81000000] (size: 0x00018CF4) of module ux0:app\PCSG00519\sce_module\libface.suprx
