[06:15:03.621] |I| [load_app_impl]: cpu-backend: Dynarmic
[06:15:03.621] |I| [load_app_impl]: CPU Optimisation state: true
[06:15:03.621] |I| [load_app_impl]: at9 audio decoder state: true
[06:15:03.621] |I| [load_app_impl]: ngs experimental state: true
[06:15:03.621] |I| [load_app_impl]: video player state: true
[06:15:03.621] |I| [load_app_impl]: lle-modules: libpgf,libSceXml,libsas,librudp,liblocation,libhandwriting
[06:15:03.621] |I| [load_app_impl]: Title: 初情スプリンクル
[06:15:03.622] |I| [load_app_impl]: Serial: PCSG01229
[06:15:03.622] |I| [load_app_impl]: Version: 1.00
[06:15:03.622] |I| [load_app_impl]: Category: gd
[06:15:03.679] |C| [load_self]: Unknown segment type 0x6FFFFF01
[06:15:03.679] |I| [load_self]: Loaded module segment 0 @ [0x00007000 - 0x0005891C / 0x81000000] (size: 0x0005191C) of module ux0:app\PCSG01229\sce_module\libc.suprx
[06:15:03.680] |I| [load_self]: Loaded module segment 1 @ [0x00059000 - 0x0005B8A0 / 0x81052000] (size: 0x000028A0) of module ux0:app\PCSG01229\sce_module\libc.suprx
[06:15:03.680] |I| [load_self]: Loading symbols for SELF: ux0:app\PCSG01229\sce_module\libc.suprx
[06:15:03.680] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x4E38C
[06:15:03.680] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x43550
[06:15:03.681] |W| [load_var_imports]: 	NID NOT FOUND 0x93B8AA67 (UNRECOGNISED) at 0x476B0, setting to stub value 0xDEADBEEF
[06:15:03.681] |W| [load_var_imports]: 	NID NOT FOUND 0xDF084DFA (UNRECOGNISED) at 0x49244, setting to stub value 0xDEADBEEF
[06:15:03.682] |I| [pre_load_module]: Pre-load module SceLibc (at "app\PCSG01229\sce_module\libc.suprx") loaded
[06:15:03.697] |C| [load_self]: Unknown segment type 0x6FFFFF01
[06:15:03.697] |I| [load_self]: Loaded module segment 0 @ [0x0005E000 - 0x0008ACBF / 0x81000000] (size: 0x0002CCBF) of module ux0:app\PCSG01229\sce_module\libfios2.suprx
[06:15:03.697] |I| [load_self]: Loaded module segment 1 @ [0x0008B000 - 0x00090255 / 0x8102D000] (size: 0x00005255) of module ux0:app\PCSG01229\sce_module\libfios2.suprx
[06:15:03.697] |I| [load_self]: Loading symbols for SELF: ux0:app\PCSG01229\sce_module\libfios2.suprx
[06:15:03.697] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x8ABC8
[06:15:03.697] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x81F08
[06:15:03.697] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "app\PCSG01229\sce_module\libfios2.suprx") loaded
[06:15:03.708] |C| [load_self]: Unknown segment type 0x6FFFFF01
[06:15:03.709] |I| [load_self]: Loaded module segment 0 @ [0x00091000 - 0x000A49BC / 0x81000000] (size: 0x000139BC) of module ux0:app\PCSG01229\sce_module\libult.suprx
[06:15:03.709] |I| [load_self]: Loaded module segment 1 @ [0x000A5000 - 0x000A5814 / 0x81014000] (size: 0x00000814) of module ux0:app\PCSG01229\sce_module\libult.suprx
[06:15:03.709] |I| [load_self]: Loading symbols for SELF: ux0:app\PCSG01229\sce_module\libult.suprx
[06:15:03.709] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0xA32E8
[06:15:03.709] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0xA0870
[06:15:03.709] |I| [pre_load_module]: Pre-load module SceUlt (at "app\PCSG01229\sce_module\libult.suprx") loaded
[06:15:03.717] |I| [load_self]: Loaded module segment 0 @ [0x000A6000 - 0x000F6F04 / 0x81000000] (size: 0x00050F04) of module vs0:sys/external/libSceFt2.suprx
[06:15:03.717] |I| [load_self]: Loaded module segment 1 @ [0x000F7000 - 0x000F72F4 / 0x81051000] (size: 0x000002F4) of module vs0:sys/external/libSceFt2.suprx
[06:15:03.717] |I| [load_self]: Loading symbols for SELF: vs0:sys/external/libSceFt2.suprx
[06:15:03.718] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0xE27DC
[06:15:03.718] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0xE1F10
[06:15:03.718] |I| [pre_load_module]: Pre-load module SceLibft2 (at "sys/external/libSceFt2.suprx") loaded
[06:15:03.721] |I| [load_self]: Loaded module segment 0 @ [0x000F8000 - 0x00107F14 / 0x81000000] (size: 0x0000FF14) of module vs0:sys/external/libpvf.suprx
[06:15:03.721] |I| [load_self]: Loaded module segment 1 @ [0x00108000 - 0x00108008 / 0x81010000] (size: 0x00000008) of module vs0:sys/external/libpvf.suprx
[06:15:03.721] |I| [load_self]: Loading symbols for SELF: vs0:sys/external/libpvf.suprx
[06:15:03.721] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x106710
[06:15:03.721] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x106300
[06:15:03.722] |I| [pre_load_module]: Pre-load module SceLibPvf (at "sys/external/libpvf.suprx") loaded
[06:15:03.783] |C| [load_self]: Unknown segment type 0x6FFFFF01
[06:15:03.783] |I| [load_self]: Loaded module segment 0 @ [0x00109000 - 0x002F65F4 / 0x81000000] (size: 0x001ED5F4) of module app0:eboot.bin
[06:15:03.783] |I| [load_self]: Loaded module segment 1 @ [0x002F7000 - 0x00331BC4 / 0x811EE000] (size: 0x0003ABC4) of module app0:eboot.bin
[06:15:03.783] |I| [load_self]: Loading symbols for SELF: app0:eboot.bin
[06:15:03.783] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x2947EC
[06:15:03.783] |D| [load_var_exports]: 	NID 0x70FBA1E7 (SCE_PROC_PARAMS) at 0x2FB0CC
[06:15:03.783] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x2CD584
[06:15:03.784] |I| [load_app_impl]: Main executable vita_app (eboot.bin) loaded
[06:15:03.798] |D| [run_app]: Running module_start of library: SceLibc at address 0x7871
[06:15:03.874] |I| [run_app]: Module SceLibc (at "ux0:app\PCSG01229\sce_module\libc.suprx") module_start returned 0x0
[06:15:03.878] |D| [run_app]: Running module_start of library: SceLibFios2 at address 0x5E001
[06:15:03.885] |W| [stubbed_impl]: Stubbed sceKernelGetProcessId import called. (pid: 0)
[06:15:03.886] |D| [export_sceFiosOverlayGetList02]: maxIDs: 127
[06:15:03.886] |W| [unimplemented_impl]: Unimplemented sceFiosOverlayGetList02 import called.
[06:15:03.886] |I| [run_app]: Module SceLibFios2 (at "ux0:app\PCSG01229\sce_module\libfios2.suprx") module_start returned 0x0
